"","ex.sp","genus","family"
"377","Aerobryum detrusum","Aerobryum",NA
"378","Aerolindigia capillacea","Aerolindigia",NA
"379","Aerva artemisioides","Aerva","Amaranthaceae"
"380","Aesandra butyracea","Aesandra","Sapotaceae"
"381","Aeschrion antillana","Aeschrion","Simaroubaceae"
"382","Aeschynanthus acuminatissimus","Aeschynanthus","Gesneriaceae"
"383","Aeschynomene abyssinica","Aeschynomene","Fabaceae"
"384","Aesculus arguta","Aesculus","Fagaceae"
"385","Aetanthus andreanus","Aetanthus","Loranthaceae"
"386","Aetheolaena caldasensis","Aetheolaena","Asteraceae"
"387","Aetheolirion stenolobium","Aetheolirion","Commelinaceae"
"388","Aetheopappus caucasicus","Aetheopappus","Asteraceae"
"389","Aetheorhiza bulbosa","Aetheorhiza","Asteraceae"
"390","Aetheorrhiza bulbosa","Aetheorrhiza","Asteraceae"
"391","Aethephyllum pinnatifidum","Aethephyllum","Aizoaceae"
"392","Aethionema arabicum","Aethionema","Brassicaceae"
"393","Aethusa cynapium","Aethusa","Myrtaceae"
"394","Aetoxylon sympetalum","Aetoxylon","Thymelaeaceae"
"395","Aextoxicon punctatum","Aextoxicon","Aextoxicaceae"
"396","Affonsea aptera","Affonsea","Fabaceae"
"397","Afgekia filipes","Afgekia","Fabaceae"
"398","Afraegle asso","Afraegle","Rutaceae"
"399","Aframmi angolense","Aframmi","Apiaceae"
"400","Aframomum albiflorum","Aframomum","Poaceae"
"401","Afrardisia zenkeri","Afrardisia","Primulaceae"
"402","Afrobrunnichia africana","Afrobrunnichia","Polygonaceae"
"403","Afrocalathea rhizantha","Afrocalathea","Marantaceae"
"404","Afrocalliandra redacta","Afrocalliandra","Fabaceae"
"405","Afrocanthium burttii","Afrocanthium","Rubiaceae"
"406","Afrocarpus dawei","Afrocarpus","Podocarpaceae"
"407","Afrocarum imbricatum","Afrocarum","Apiaceae"
"408","Afrocrania volkensii","Afrocrania","Cornaceae"
"409","Afrofittonia silvestris","Afrofittonia","Acanthaceae"
"410","Afroguatteria bequaertii","Afroguatteria","Annonaceae"
"411","Afroknoxia manika","Afroknoxia","Rubiaceae"
"412","Afrolicania elaeosperma","Afrolicania","Chrysobalanaceae"
"413","Afroligusticum aculeolatum","Afroligusticum","Apiaceae"
"414","Afrolimon amoenum","Afrolimon","Plumbaginaceae"
"415","Afropteris barklyae","Afropteris","Pteridaceae"
"416","Afroqueta capensis","Afroqueta","Passifloraceae"
"417","Afrosciadium articulatum","Afrosciadium","Apiaceae"
"418","Afrosersalisia chevalieri","Afrosersalisia","Sapotaceae"
"419","Afrostyrax kamerunensis","Afrostyrax","Huaceae"
"420","Afrothismia baerae","Afrothismia","Malvaceae"
"421","Afrotrewia kamerunica","Afrotrewia","Euphorbiaceae"
"422","Afrotrichloris hyaloptera","Afrotrichloris","Poaceae"
"423","Afrotrilepis pilosa","Afrotrilepis","Eriocaulaceae"
"424","Afrotysonia africana","Afrotysonia","Boraginaceae"
"425","Afzelia africana","Afzelia","Bignoniaceae"
"426","Agalinis acuta","Agalinis","Orobanchaceae"
"427","Agalma perlucidum","Agalma","Asteraceae"
"428","Agalmyla beccarii","Agalmyla","Gesneriaceae"
"429","Agaloma corollata","Agaloma","Euphorbiaceae"
"430","Aganippea dentata","Aganippea","Asteraceae"
"431","Aganisia cyanea","Aganisia","Orchidaceae"
"432","Aganonerion polymorphum","Aganonerion","Apocynaceae"
"433","Aganope gabonica","Aganope","Fabaceae"
"434","Aganosma breviloba","Aganosma","Apocynaceae"
"435","Agapanthus africanus","Agapanthus","Amaryllidaceae"
"436","Agapatea filamentosa","Agapatea","Poaceae"
"437","Agapetes angulata","Agapetes","Asteraceae"
"438","Agarista albiflora","Agarista","Asteraceae"
"439","Agastache aurantiaca","Agastache","Lamiaceae"
"440","Agastachys odorata","Agastachys","Cyperaceae"
"441","Agasyllis latifolia","Agasyllis","Apiaceae"
"442","Agatea lecointei","Agatea","Violaceae"
"443","Agathaea elongata","Agathaea","Asteraceae"
"444","Agathelpis angustifolia","Agathelpis","Plantaginaceae"
"445","Agathis alba","Agathis","Arecaceae"
"446","Agathisanthemum bojeri","Agathisanthemum","Rubiaceae"
"447","Agathophora alopecuroides","Agathophora","Amaranthaceae"
"448","Agathosma abrupta","Agathosma","Scrophulariaceae"
"449","Agauria bojeri","Agauria","Cyperaceae"
"450","Agave albomarginata","Agave","Asparagaceae"
"451","Agdestis clematidea","Agdestis","Phytolaccaceae"
"452","Agelaea borneensis","Agelaea","Connaraceae"
"453","Agelanthus atrocoronatus","Agelanthus","Loranthaceae"
"454","Agenium leptocladum","Agenium","Poaceae"
"455","Ageratella microphylla","Ageratella","Asteraceae"
"456","Ageratina acevedoana","Ageratina","Asteraceae"
"457","Ageratinastrum lejolyanum","Ageratinastrum","Asteraceae"
"458","Ageratum ageratoides","Ageratum","Asteraceae"
"459","Agiortia cicatricata","Agiortia","Ericaceae"
"460","Aglaia acariiantha","Aglaia","Cactaceae"
"461","Aglaodorum griffithii","Aglaodorum","Araceae"
"462","Aglaomorpha cornucopia","Aglaomorpha","Polypodiaceae"
"463","Aglaonema brevispathum","Aglaonema","Araceae"
"464","Aglossorrhyncha biflora","Aglossorrhyncha","Orchidaceae"
"465","Agnorhiza bolanderi","Agnorhiza","Asteraceae"
"466","Agonandra brasiliensis","Agonandra","Opiliaceae"
"467","Agonis angustifolia","Agonis","Phrymaceae"
"468","Agoseris apargioides","Agoseris","Asteraceae"
"469","Agouticarpa curviflora","Agouticarpa","Rubiaceae"
"470","Agraphis serotina","Agraphis","Asparagaceae"
