"","ex.sp","genus","family"
"2962","Campanulorchis globifera","Campanulorchis","Orchidaceae"
"2963","Campanumoea inflata","Campanumoea","Campanulaceae"
"2964","Campecarpus fulcitus","Campecarpus","Arecaceae"
"2965","Campeiostachys aristiglumis","Campeiostachys","Poaceae"
"2966","Camphora inuncta","Camphora","Dipterocarpaceae"
"2967","Camphorosma annua","Camphorosma","Amaranthaceae"
"2968","Campium samoense","Campium","Polypodiaceae"
"2969","Campnosperma auriculatum","Campnosperma","Anacardiaceae"
"2970","Campomanesia adamantium","Campomanesia","Myrtaceae"
"2971","Campovassouria barbosae","Campovassouria","Asteraceae"
"2972","Campsiandra angustifolia","Campsiandra","Fabaceae"
"2973","Campsidium valdivianum","Campsidium","Bignoniaceae"
"2974","Campsis grandiflora","Campsis","Bignoniaceae"
"2975","Camptacra barbata","Camptacra","Asteraceae"
"2976","Camptandra angustifolia","Camptandra","Moraceae"
"2977","Camptocarpus acuminatus","Camptocarpus","Boraginaceae"
"2978","Camptochaete aciphylla","Camptochaete",NA
"2979","Camptodontium cryptodon","Camptodontium",NA
"2980","Camptolepis crassifolia","Camptolepis","Asteraceae"
"2981","Camptoloma canariense","Camptoloma","Scrophulariaceae"
"2982","Camptopus letestui","Camptopus","Fabaceae"
"2983","Camptorrhiza strumosa","Camptorrhiza","Colchicaceae"
"2984","Camptosema acuminatum","Camptosema","Fabaceae"
"2985","Camptosorus sibiricus","Camptosorus","Asteraceae"
"2986","Camptostemon philippinense","Camptostemon","Malvaceae"
"2987","Camptostylus kivuensis","Camptostylus","Achariaceae"
"2988","Camptotheca acuminata","Camptotheca","Nyssaceae"
"2989","Camptothecium aeneum","Camptothecium",NA
"2990","Camptouratea persistens","Camptouratea","Ochnaceae"
"2991","Campuloclinium alternifolium","Campuloclinium","Asteraceae"
"2992","Campylandra aurantiaca","Campylandra","Asparagaceae"
"2993","Campylanthus antonii","Campylanthus","Fabaceae"
"2994","Campyliadelphus chrysophyllus","Campyliadelphus",NA
"2995","Campylidium calcareum","Campylidium",NA
"2996","Campylium adscendens","Campylium",NA
"2997","Campylocentrum aciculatum","Campylocentrum","Ranunculaceae"
"2998","Campylodontium flavescens","Campylodontium",NA
"2999","Campylogramma lancifolia","Campylogramma","Polypodiaceae"
"3000","Campyloneurum abruptum","Campyloneurum","Oleaceae"
"3001","Campylophyllum calcareum","Campylophyllum","Fabaceae"
"3002","Campylopodiella crenulata","Campylopodiella",NA
"3003","Campylopodium euchlorum","Campylopodium","Solanaceae"
"3004","Campylopus acuminatus","Campylopus","Cistaceae"
"3005","Campylosiphon congestus","Campylosiphon","Acanthaceae"
"3006","Campylospermum affine","Campylospermum","Ochnaceae"
"3007","Campylostachys cernua","Campylostachys","Cyperaceae"
"3008","Campylostelium americanum","Campylostelium",NA
"3009","Campylostemon angolense","Campylostemon","Acanthaceae"
"3010","Campylotropis argentea","Campylotropis","Fabaceae"
"3011","Campynema lineare","Campynema","Campynemataceae"
"3012","Campynemanthe neocaledonica","Campynemanthe","Campynemataceae"
"3013","Canacomyrica monticola","Canacomyrica","Myricaceae"
"3014","Canadanthus modestus","Canadanthus","Asteraceae"
"3015","Canalohypopterygium tamariscinum","Canalohypopterygium",NA
"3016","Cananga klotzschiana","Cananga","Annonaceae"
"3017","Canarina abyssinica","Canarina","Asphodelaceae"
"3018","Canarium acutifolium","Canarium","Loranthaceae"
"3019","Canastra aristella","Canastra","Convolvulaceae"
"3020","Canavalia acuminata","Canavalia","Fabaceae"
"3021","Canbya aurea","Canbya","Papaveraceae"
"3022","Cancrinia chrysocephala","Cancrinia","Asteraceae"
"3023","Candelariella canadensis","Candelariella",NA
"3024","Candollea cuneiformis","Candollea","Poaceae"
"3025","Candolleodendron brachystachyum","Candolleodendron","Fabaceae"
"3026","Canella winterana","Canella","Lauraceae"
"3027","Canephora axillaris","Canephora","Bromeliaceae"
"3028","Canistropsis albiflora","Canistropsis","Bromeliaceae"
"3029","Canistrum alagoanum","Canistrum","Bromeliaceae"
"3030","Canna ascendens","Canna","Lentibulariaceae"
"3031","Cannabis sativa","Cannabis","Orobanchaceae"
"3032","Cannaboides andohahelensis","Cannaboides","Apiaceae"
"3033","Cannaeorchis cymatoleguum","Cannaeorchis","Orchidaceae"
"3034","Cannomois anfracta","Cannomois","Restionaceae"
"3035","Canotia holacantha","Canotia","Koeberliniaceae"
"3036","Canscora alata","Canscora","Gentianaceae"
"3037","Cansjera leptostachya","Cansjera","Opiliaceae"
"3038","Cantharospermum cinereum","Cantharospermum","Fabaceae"
"3039","Canthium aciculatum","Canthium","Loranthaceae"
"3040","Cantinoa althaeifolia","Cantinoa","Lamiaceae"
"3041","Cantua bicolor","Cantua","Polemoniaceae"
"3042","Caobangia squamata","Caobangia","Polypodiaceae"
"3043","Caopia guianensis","Caopia","Hypericaceae"
"3044","Capanea grandiflora","Capanea","Gesneriaceae"
"3045","Capanemia angustilabia","Capanemia","Orchidaceae"
"3046","Capelio caledonica","Capelio","Asteraceae"
"3047","Capeobolus brevicaulis","Capeobolus","Cyperaceae"
"3048","Capeochloa arundinacea","Capeochloa","Poaceae"
"3049","Caperonia aculeolata","Caperonia","Euphorbiaceae"
"3050","Caphexandra heydeana","Caphexandra","Capparaceae"
"3051","Capillipedium assimile","Capillipedium","Poaceae"
"3052","Capirona decorticans","Capirona","Rubiaceae"
"3053","Capitanopsis albida","Capitanopsis","Lamiaceae"
"3054","Capitularia foliata","Capitularia","Cyperaceae"
"3055","Capitularina involucrata","Capitularina","Cyperaceae"
"3056","Capnoides flavula","Capnoides","Asteraceae"
"3057","Capnophyllum africanum","Capnophyllum","Apiaceae"
"3058","Capnorchis thalictrifolia","Capnorchis","Papaveraceae"
"3059","Capnorea leporina","Capnorea","Boraginaceae"
"3060","Capparicordis crotonoides","Capparicordis","Capparaceae"
"3061","Capparidastrum bonifazianum","Capparidastrum","Capparaceae"
"3062","Capparis acuminata","Capparis","Malvaceae"
"3063","Capraria biflora","Capraria","Caryophyllaceae"
"3064","Capsella australis","Capsella","Brassicaceae"
"3065","Capsicodendron dinisii","Capsicodendron","Canellaceae"
"3066","Capsicophysalis potosina","Capsicophysalis","Solanaceae"
"3067","Capsicum annuum","Capsicum","Solanaceae"
"3068","Capurodendron androyense","Capurodendron","Sapotaceae"
"3069","Capuronia benoistii","Capuronia","Lythraceae"
"3070","Capuronianthus mahafalensis","Capuronianthus","Meliaceae"
"3071","Caragana acanthophylla","Caragana","Poaceae"
"3072","Caraipa ampla","Caraipa","Clusiaceae"
"3073","Carallia borneensis","Carallia","Rhizophoraceae"
"3074","Caralluma adenensis","Caralluma","Apocynaceae"
"3075","Carapa akuri","Carapa","Burmanniaceae"
"3076","Carapichea adinantha","Carapichea","Rubiaceae"
"3077","Cardamine africana","Cardamine","Asteraceae"
"3078","Cardaminopsis kamtschatica","Cardaminopsis","Brassicaceae"
"3079","Cardamomum capitatum","Cardamomum","Zingiberaceae"
"3080","Cardaria chalepensis","Cardaria","Brassicaceae"
"3081","Cardenanthus shepardiae","Cardenanthus","Iridaceae"
"3082","Cardenasiodendron brachypterum","Cardenasiodendron","Anacardiaceae"
"3083","Cardiandra alternifolia","Cardiandra","Hydrangeaceae"
"3084","Cardiochilos williamsonii","Cardiochilos","Orchidaceae"
"3085","Cardiochlaena ampla","Cardiochlaena","Pteridaceae"
"3086","Cardiochlamys madagascariensis","Cardiochlamys","Acanthaceae"
"3087","Cardiocrinum cathayanum","Cardiocrinum","Liliaceae"
"3088","Cardiolejeunea dipterocarpa","Cardiolejeunea",NA
"3089","Cardiomanes reniforme","Cardiomanes","Hymenophyllaceae"
"3090","Cardionema andinum","Cardionema","Caryophyllaceae"
"3091","Cardiopetalum calophyllum","Cardiopetalum","Ranunculaceae"
"3092","Cardiopteris javanica","Cardiopteris","Cardiopteridaceae"
"3093","Cardiospermum anomalum","Cardiospermum","Asteraceae"
"3094","Cardiostigma hintonii","Cardiostigma","Orchidaceae"
"3095","Cardopatium amethystinum","Cardopatium","Asteraceae"
"3096","Cardotia heterodictya","Cardotia",NA
"3097","Cardotiella appendiculata","Cardotiella",NA
"3098","Carduncellus araneosus","Carduncellus","Asteraceae"
"3099","Carduocirsium parisiense","Carduocirsium","Asteraceae"
"3100","Carduus acanthocephalus","Carduus","Asteraceae"
"3101","Cardwellia sublimis","Cardwellia","Gesneriaceae"
"3102","Carelia albida","Carelia","Asteraceae"
"3103","Carenidium hookeri","Carenidium","Orchidaceae"
"3104","Carex abacta","Carex","Orchidaceae"
"3105","Careya arborea","Careya","Lecythidaceae"
"3106","Cargillia arborea","Cargillia","Ebenaceae"
"3107","Caribaeohypnum polypterum","Caribaeohypnum",NA
"3108","Carica aprica","Carica","Caryophyllaceae"
"3109","Caricina brizoidea","Caricina","Asteraceae"
"3110","Carinavalva glauca","Carinavalva","Brassicaceae"
"3111","Cariniana decandra","Cariniana","Lecythidaceae"
"3112","Carinta repens","Carinta","Rubiaceae"
"3113","Carissa arduina","Carissa","Dioscoreaceae"
"3114","Carlemannia griffithii","Carlemannia","Carlemanniaceae"
"3115","Carlephyton darainense","Carlephyton","Araceae"
"3116","Carlesia sinensis","Carlesia","Apiaceae"
"3117","Carlina acanthifolia","Carlina","Asteraceae"
"3118","Carlowrightia albiflora","Carlowrightia","Acanthaceae"
"3119","Carlquistia muirii","Carlquistia","Asteraceae"
"3120","Carludovica drudei","Carludovica","Cyclanthaceae"
"3121","Carmichaelia aligera","Carmichaelia","Fabaceae"
"3122","Carminatia alvarezii","Carminatia","Asteraceae"
"3123","Carmona microphylla","Carmona","Boraginaceae"
"3124","Carnarvonia araliifolia","Carnarvonia","Amaryllidaceae"
"3125","Carnegiea gigantea","Carnegiea","Monimiaceae"
"3126","Carolinea princeps","Carolinea","Malvaceae"
"3127","Carolofritschia diandra","Carolofritschia","Gesneriaceae"
"3128","Carolus anderssonii","Carolus","Lamiaceae"
"3129","Caropodium haussknechtii","Caropodium","Apiaceae"
"3130","Caropsis verticillatoinundata","Caropsis","Apiaceae"
"3131","Caroxylon dendroides","Caroxylon","Amaranthaceae"
"3132","Carpacoce curvifolia","Carpacoce","Rubiaceae"
"3133","Carpanthea pomeridiana","Carpanthea","Aizoaceae"
"3134","Carparomorchis baileyi","Carparomorchis","Orchidaceae"
"3135","Carpentaria acuminata","Carpentaria","Arecaceae"
"3136","Carpenteria californica","Carpenteria","Hydrangeaceae"
"3137","Carpesium abrotanoides","Carpesium","Asteraceae"
"3138","Carpha alpina","Carpha","Cyperaceae"
"3139","Carphalea angulata","Carphalea","Rubiaceae"
"3140","Carphephorus bellidifolius","Carphephorus","Asteraceae"
"3141","Carphochaete bigelovii","Carphochaete","Asteraceae"
"3142","Carpinus americana","Carpinus","Betulaceae"
"3143","Carpobrotus acinaciformis","Carpobrotus","Aizoaceae"
"3144","Carpodetes major","Carpodetes","Amaryllidaceae"
"3145","Carpodetus arboreus","Carpodetus","Rousseaceae"
"3146","Carpodinopsis talbotii","Carpodinopsis","Apocynaceae"
"3147","Carpodinus globulifera","Carpodinus","Apocynaceae"
"3148","Carpodiptera africana","Carpodiptera","Loranthaceae"
"3149","Carpodontos lucida","Carpodontos","Cunoniaceae"
"3150","Carpolepis elegans","Carpolepis","Myrtaceae"
"3151","Carpolobia alba","Carpolobia","Polygalaceae"
"3152","Carpolyza spiralis","Carpolyza","Amaryllidaceae"
"3153","Carpophyma mutabile","Carpophyma","Aizoaceae"
"3154","Carpotroche amazonica","Carpotroche","Achariaceae"
"3155","Carramboa badilloi","Carramboa","Asteraceae"
"3156","Carrichtera annua","Carrichtera","Brassicaceae"
"3157","Carrierea calycina","Carrierea","Salicaceae"
"3158","Carronia multisepalea","Carronia","Menispermaceae"
"3159","Carrpos sphaerocarpos","Carrpos",NA
"3160","Carruanthus peersii","Carruanthus","Aizoaceae"
"3161","Carruthersia daronensis","Carruthersia","Apocynaceae"
"3162","Carsonia sparsiflora","Carsonia","Cleomaceae"
"3163","Carterella alexanderae","Carterella","Rubiaceae"
"3164","Carterothamnus anomalochaeta","Carterothamnus","Asteraceae"
"3165","Carthamus arborescens","Carthamus","Asteraceae"
"3166","Cartonema baileyi","Cartonema","Commelinaceae"
"3167","Caruelina parviflora","Caruelina","Rubiaceae"
"3168","Carum appuanum","Carum","Apiaceae"
"3169","Carumbium nutans","Carumbium","Euphorbiaceae"
"3170","Carvalhoa campanulata","Carvalhoa","Apocynaceae"
"3171","Carya alba","Carya","Juglandaceae"
"3172","Caryocar amydaliforme","Caryocar","Caryocaraceae"
"3173","Caryodaphnopsis baviensis","Caryodaphnopsis","Lauraceae"
"3174","Caryodendron amazonicum","Caryodendron","Euphorbiaceae"
"3175","Caryomene foveolata","Caryomene","Menispermaceae"
"3176","Caryophyllus fruticosus","Caryophyllus","Eriocaulaceae"
"3177","Caryopteris bicolor","Caryopteris","Orobanchaceae"
"3178","Caryota aequatorialis","Caryota","Arecaceae"
"3179","Caryotophora skiatophytoides","Caryotophora","Aizoaceae"
"3180","Casalea ficarifolia","Casalea","Ranunculaceae"
"3181","Casasia calophylla","Casasia","Rubiaceae"
"3182","Cascabela gaumeri","Cascabela","Apocynaceae"
"3183","Cascadia nuttallii","Cascadia","Saxifragaceae"
"3184","Cascarilla hexandra","Cascarilla","Peraceae"
"3185","Cascaronia astragalina","Cascaronia","Fabaceae"
"3186","Casearia aculeata","Casearia","Malvaceae"
"3187","Casimirella ampla","Casimirella","Icacinaceae"
"3188","Casimiroa calderoniae","Casimiroa","Rutaceae"
"3189","Cassebeera pinnata","Cassebeera","Pteridaceae"
"3190","Casselia chamaedryfolia","Casselia","Boraginaceae"
"3191","Cassia abbreviata","Cassia","Apiaceae"
"3192","Cassida alpina","Cassida","Lamiaceae"
"3193","Cassine aethiopica","Cassine","Aquifoliaceae"
"3194","Cassinia accipitrum","Cassinia","Asteraceae"
"3195","Cassinopsis chapelieri","Cassinopsis","Icacinaceae"
"3196","Cassiope abbreviata","Cassiope","Asteraceae"
"3197","Cassipourea acuminata","Cassipourea","Rhizophoraceae"
"3198","Cassupa coriacia","Cassupa","Rubiaceae"
"3199","Cassytha americana","Cassytha","Asphodelaceae"
"3200","Castalia pringlei","Castalia","Nymphaeaceae"
"3201","Castalis nudicaulis","Castalis","Asteraceae"
"3202","Castanea alabamensis","Castanea","Annonaceae"
"3203","Castanedia santamartensis","Castanedia","Asteraceae"
"3204","Castanoclobos julaceus","Castanoclobos",NA
"3205","Castanola paradoxa","Castanola","Connaraceae"
"3206","Castanopsis acuminatissima","Castanopsis","Euphorbiaceae"
"3207","Castanospermum australe","Castanospermum","Sapotaceae"
"3208","Castanospora alphandi","Castanospora","Sapindaceae"
"3209","Castela calcicola","Castela","Koeberliniaceae"
"3210","Castellanosia caineana","Castellanosia","Cactaceae"
"3211","Castellia tuberculata","Castellia","Poaceae"
"3212","Castelnavia cuneifolia","Castelnavia","Podostemaceae"
"3213","Castilla elastica","Castilla","Arecaceae"
"3214","Castilleja acuminata","Castilleja","Orobanchaceae"
"3215","Castilloa elastica","Castilloa","Moraceae"
"3216","Castratella piloselloides","Castratella","Melastomataceae"
"3217","Castrilanthemum debeauxii","Castrilanthemum","Asteraceae"
"3218","Castroviejoa frigida","Castroviejoa","Asteraceae"
"3219","Casuarina collina","Casuarina","Bignoniaceae"
"3220","Catabrosa aquatica","Catabrosa","Poaceae"
"3221","Catabrosella araratica","Catabrosella","Poaceae"
"3222","Catacolea enodis","Catacolea","Restionaceae"
"3223","Catadysia rosulans","Catadysia","Brassicaceae"
"3224","Catagoniopsis berteroana","Catagoniopsis",NA
"3225","Catagonium brevicaudatum","Catagonium",NA
"3226","Catalepidia heyana","Catalepidia","Proteaceae"
"3227","Catalepis gracilis","Catalepis","Poaceae"
"3228","Catalpa bignonioides","Catalpa","Bignoniaceae"
"3229","Catananche arenaria","Catananche","Plantaginaceae"
"3230","Catanthera brassii","Catanthera","Melastomataceae"
"3231","Catapodium demnatense","Catapodium","Poaceae"
"3232","Catapyrenium cinereum","Catapyrenium",NA
"3233","Catasetum apolloi","Catasetum","Orchidaceae"
"3234","Catatia attenuata","Catatia","Asteraceae"
"3235","Catesbaea flaviflora","Catesbaea","Rubiaceae"
"3236","Catevala margaritifera","Catevala","Asphodelaceae"
"3237","Catha dryandrii","Catha","Celastraceae"
"3238","Catharanthus coriaceus","Catharanthus","Apocynaceae"
"3239","Catharinea aequinoctialis","Catharinea","Rosaceae"
"3240","Cathariostachys capitata","Cathariostachys","Poaceae"
"3241","Catharomnion ciliatum","Catharomnion",NA
"3242","Cathaya argyrophylla","Cathaya","Pinaceae"
"3243","Cathayanthe biflora","Cathayanthe","Gesneriaceae"
"3244","Cathcartia villosa","Cathcartia","Papaveraceae"
"3245","Cathedra acuminata","Cathedra","Olacaceae"
"3246","Cathestecum brevifolium","Cathestecum","Poaceae"
"3247","Cathormion altissimum","Cathormion","Fabaceae"
"3248","Catimbium malaccense","Catimbium","Zingiberaceae"
"3249","Catinga oblongifolia","Catinga","Bignoniaceae"
"3250","Catoblastus equalis","Catoblastus","Arecaceae"
"3251","Catoferia capitata","Catoferia","Lamiaceae"
"3252","Catolesia huperzioides","Catolesia","Asteraceae"
"3253","Catolobus pendula","Catolobus","Brassicaceae"
"3254","Catonia lantanoides","Catonia","Boraginaceae"
"3255","Catopheria capitata","Catopheria",NA
"3256","Catophractes alexandri","Catophractes","Bignoniaceae"
"3257","Catopsis berteroniana","Catopsis","Bromeliaceae"
"3258","Catoscopium nigritum","Catoscopium",NA
"3259","Catostemma albuquerquei","Catostemma","Malvaceae"
"3260","Cattleya acklandiae","Cattleya","Orchidaceae"
"3261","Catunaregam longispina","Catunaregam","Araceae"
"3262","Caucaea alticola","Caucaea","Orchidaceae"
"3263","Caucalis grandiflora","Caucalis","Apiaceae"
"3264","Caucanthus albidus","Caucanthus","Malpighiaceae"
"3265","Caucasalia parviflora","Caucasalia","Asteraceae"
"3266","Caudalejeunea africana","Caudalejeunea",NA
"3267","Caudoxalis bowieana","Caudoxalis","Oxalidaceae"
"3268","Caulanthus amplexicaulis","Caulanthus","Brassicaceae"
"3269","Caularthron bicornutum","Caularthron","Orchidaceae"
"3270","Caulinia beckxiana","Caulinia","Posidoniaceae"
"3271","Caulipsolon rapaceum","Caulipsolon","Aizoaceae"
"3272","Caulocarpus gossweileri","Caulocarpus","Fabaceae"
"3273","Caulokaempferia coenobialis","Caulokaempferia","Zingiberaceae"
"3274","Caulophyllum giganteum","Caulophyllum","Asteraceae"
"3275","Caulostramina jaegeri","Caulostramina","Brassicaceae"
"3276","Caustis blakei","Caustis","Cyperaceae"
"3277","Cautleya gracilis","Cautleya","Zingiberaceae"
"3278","Cavacoa aurea","Cavacoa","Euphorbiaceae"
"3279","Cavalcantia glomerata","Cavalcantia","Asteraceae"
"3280","Cavanillesia arborea","Cavanillesia","Polygalaceae"
"3281","Cavea tanguensis","Cavea","Asteraceae"
"3282","Cavendishia aberrans","Cavendishia","Ericaceae"
"3283","Cavicularia densa","Cavicularia",NA
"3284","Cayaponia africana","Cayaponia","Cucurbitaceae"
"3285","Caylusea abyssinica","Caylusea","Resedaceae"
"3286","Cayratia acris","Cayratia","Vitaceae"
"3287","Ceanothus americanus","Ceanothus","Rhamnaceae"
"3288","Cebatha carolina","Cebatha","Menispermaceae"
"3289","Cecarria obtusifolia","Cecarria","Loranthaceae"
"3290","Cecropia adenopus","Cecropia","Urticaceae"
"3291","Cedrela adenophylla","Cedrela","Meliaceae"
"3292","Cedrelinga cateniformis","Cedrelinga","Fabaceae"
"3293","Cedrella fissilis","Cedrella",NA
"3294","Cedrelopsis ambanjensis","Cedrelopsis","Rutaceae"
"3295","Cedronella canariensis","Cedronella","Lamiaceae"
"3296","Cedrus atlantica","Cedrus","Berberidaceae"
"3297","Ceiba acuminata","Ceiba","Apocynaceae"
"3298","Celastrus aculeatus","Celastrus","Celastraceae"
"3299","Celerina seyrigii","Celerina","Acanthaceae"
"3300","Celianella montana","Celianella","Phyllanthaceae"
"3301","Celiantha bella","Celiantha","Gentianaceae"
"3302","Celmearia ruawahia","Celmearia","Asteraceae"
"3303","Celmisia adamsii","Celmisia","Asteraceae"
"3304","Celosia anthelminthica","Celosia","Amaranthaceae"
"3305","Celsia acanthifolia","Celsia","Asparagaceae"
"3306","Celtica gigantea","Celtica","Fagaceae"
"3307","Celtis adolfi-friderici","Celtis","Malvaceae"
"3308","Cenarrhenes nitida","Cenarrhenes","Proteaceae"
"3309","Cenchrus advena","Cenchrus","Poaceae"
"3310","Cenia anthemoidea","Cenia","Asteraceae"
"3311","Cenocentrum tonkinense","Cenocentrum","Malvaceae"
"3312","Cenolophium denudatum","Cenolophium","Apiaceae"
"3313","Cenostigma gardnerianum","Cenostigma","Fabaceae"
"3314","Centaurea acaulis","Centaurea","Asteraceae"
"3315","Centaurium ameghinoi","Centaurium","Loganiaceae"
"3316","Centaurodendron dracaenoides","Centaurodendron","Asteraceae"
"3317","Centauropsis antanossi","Centauropsis","Asteraceae"
"3318","Centaurothamnus maximus","Centaurothamnus","Asteraceae"
"3319","Centella abbreviata","Centella","Araliaceae"
"3320","Centema angolensis","Centema","Amaranthaceae"
"3321","Centemopsis biflora","Centemopsis","Amaranthaceae"
"3322","Centipeda aotearoana","Centipeda","Dipterocarpaceae"
"3323","Centotheca lappacea","Centotheca","Poaceae"
"3324","Centradenia floribunda","Centradenia","Orchidaceae"
"3325","Centradeniastrum album","Centradeniastrum","Melastomataceae"
"3326","Centranthera brunoniana","Centranthera","Fabaceae"
"3327","Centranthus amazonum","Centranthus","Caprifoliaceae"
"3328","Centrapalus pauciflorus","Centrapalus","Asteraceae"
"3329","Centratherum australianum","Centratherum","Asteraceae"
"3330","Centrochloa singularis","Centrochloa","Poaceae"
"3331","Centroglossa castellensis","Centroglossa","Orchidaceae"
"3332","Centrolepis aemula","Centrolepis","Restionaceae"
"3333","Centrolobium microchaete","Centrolobium","Fabaceae"
"3334","Centromadia fitchii","Centromadia","Asteraceae"
"3335","Centronia brachycera","Centronia","Orobanchaceae"
"3336","Centroplacus glaucinus","Centroplacus","Centroplacaceae"
"3337","Centropodia forskalii","Centropodia","Poaceae"
"3338","Centropogon acrodentatus","Centropogon","Campanulaceae"
"3339","Centrosema acutifolium","Centrosema","Fabaceae"
"3340","Centrostachys aquatica","Centrostachys","Amaranthaceae"
"3341","Centrostegia thurberi","Centrostegia","Polygonaceae"
"3342","Centrostemma coriaceum","Centrostemma","Gentianaceae"
"3343","Centrostigma clavatum","Centrostigma","Orchidaceae"
"3344","Centunculus pentandrus","Centunculus","Caryophyllaceae"
"3345","Cephaelis albiflora","Cephaelis","Rubiaceae"
"3346","Cephalacanthus maculatus","Cephalacanthus","Acanthaceae"
"3347","Cephalangraecum straussii","Cephalangraecum","Orchidaceae"
"3348","Cephalanthera alpicola","Cephalanthera","Loranthaceae"
"3349","Cephalantheropsis calanthoides","Cephalantheropsis","Orchidaceae"
"3350","Cephalantholejeunea temnanthoides","Cephalantholejeunea",NA
"3351","Cephalanthus amazonicus","Cephalanthus","Araliaceae"
"3352","Cephalaralia cephalobotrys","Cephalaralia","Araliaceae"
"3353","Cephalaria alpina","Cephalaria","Campanulaceae"
"3354","Cephalipterum drummondii","Cephalipterum","Asteraceae"
"3355","Cephalobembix neomexicana","Cephalobembix","Asteraceae"
"3356","Cephalocarpus comatus","Cephalocarpus","Cyperaceae"
"3357","Cephaloceraton histrix","Cephaloceraton","Isoetaceae"
"3358","Cephalocereus albispinus","Cephalocereus","Cactaceae"
"3359","Cephalocroton cordofanus","Cephalocroton","Euphorbiaceae"
"3360","Cephalocrotonopsis socotranus","Cephalocrotonopsis","Euphorbiaceae"
"3361","Cephalojonesia incuba","Cephalojonesia",NA
"3362","Cephalolobus sphenoloboides","Cephalolobus",NA
"3363","Cephalomanes acrosorum","Cephalomanes","Hymenophyllaceae"
"3364","Cephalomappa beccariana","Cephalomappa","Euphorbiaceae"
"3365","Cephalomitrion aterrimum","Cephalomitrion",NA
"3366","Cephalopappus sonchifolius","Cephalopappus","Asteraceae"
"3367","Cephalophis lukei","Cephalophis","Acanthaceae"
"3368","Cephalophyllum alstonii","Cephalophyllum","Aizoaceae"
"3369","Cephalorhizum coelicolor","Cephalorhizum","Plumbaginaceae"
"3370","Cephalorrhynchus chitralensis","Cephalorrhynchus","Asteraceae"
"3371","Cephalosorus carpesioides","Cephalosorus","Asteraceae"
"3372","Cephalosphaera usambarensis","Cephalosphaera","Myristicaceae"
"3373","Cephalostachyum chapelieri","Cephalostachyum","Poaceae"
"3374","Cephalostemon affinis","Cephalostemon","Rapateaceae"
"3375","Cephalostigma perrottetii","Cephalostigma","Clusiaceae"
"3376","Cephalotaxus fortunei","Cephalotaxus","Taxaceae"
"3377","Cephalotomandra fragrans","Cephalotomandra","Nyctaginaceae"
"3378","Cephalotus follicularis","Cephalotus","Arecaceae"
"3379","Cephalozia aeraria","Cephalozia",NA
"3380","Cephaloziella aenigmatica","Cephaloziella",NA
"3381","Cephaloziopsis intertexta","Cephaloziopsis",NA
"3382","Cepobaculum canaliculatum","Cepobaculum","Orchidaceae"
"3383","Ceradenia albidula","Ceradenia","Polypodiaceae"
"3384","Ceraia goldfinchii","Ceraia","Orchidaceae"
"3385","Ceramanus centipes","Ceramanus",NA
"3386","Ceraria carrissoana","Ceraria","Ericaceae"
"3387","Cerastium afromontanum","Cerastium","Caryophyllaceae"
"3388","Cerasus angustifolia","Cerasus","Celastraceae"
"3389","Ceratandra atrata","Ceratandra","Dioscoreaceae"
"3390","Ceratanthus calcaratus","Ceratanthus","Lamiaceae"
"3391","Ceratiola ericoides","Ceratiola","Ericaceae"
"3392","Ceratiosicyos ecklonii","Ceratiosicyos","Achariaceae"
"3393","Ceratobium antennatum","Ceratobium","Orchidaceae"
"3394","Ceratocapnos claviculata","Ceratocapnos","Papaveraceae"
"3395","Ceratocarpus arenarius","Ceratocarpus","Euphorbiaceae"
"3396","Ceratocaryum argenteum","Ceratocaryum","Restionaceae"
"3397","Ceratocephala falcata","Ceratocephala","Ranunculaceae"
"3398","Ceratocephalus falcata","Ceratocephalus","Asteraceae"
"3399","Ceratochilus biglandulosus","Ceratochilus","Orchidaceae"
"3400","Ceratochloa marginata","Ceratochloa","Poaceae"
"3401","Ceratocnemum rapistroides","Ceratocnemum","Brassicaceae"
"3402","Ceratodon condensatus","Ceratodon","Asteraceae"
"3403","Ceratogyne obionoides","Ceratogyne","Asteraceae"
"3404","Ceratoides lanata","Ceratoides","Fabaceae"
"3405","Ceratolacis erythrolichen","Ceratolacis","Podostemaceae"
"3406","Ceratolejeunea amazonica","Ceratolejeunea",NA
"3407","Ceratolimon feei","Ceratolimon","Plumbaginaceae"
"3408","Ceratolobus concolor","Ceratolobus","Arecaceae"
"3409","Ceratonia oreothauma","Ceratonia","Fabaceae"
"3410","Ceratopetalum apetalum","Ceratopetalum","Vitaceae"
"3411","Ceratophyllum cristatum","Ceratophyllum","Aizoaceae"
"3412","Ceratopteris cornuta","Ceratopteris","Pteridaceae"
"3413","Ceratopyxis verbenacea","Ceratopyxis","Rubiaceae"
"3414","Ceratosanthes hilariana","Ceratosanthes","Annonaceae"
"3415","Ceratostema alatum","Ceratostema","Ericaceae"
"3416","Ceratostigma abyssinicum","Ceratostigma","Pandanaceae"
"3417","Ceratostylis acutifolia","Ceratostylis","Orchidaceae"
"3418","Ceratotheca integribracteata","Ceratotheca","Plantaginaceae"
"3419","Ceratozamia alvarezii","Ceratozamia","Zamiaceae"
"3420","Cerbera dilatata","Cerbera","Goodeniaceae"
"3421","Cerberiopsis candelabra","Cerberiopsis","Apocynaceae"
"3422","Cercestis afzelii","Cercestis","Araceae"
