order,OrigValueStr,Freq,mode
376,Mammals (non-bat)+invertebrates (non-ant).,1,animalnotspecified
377,Mammals (non-bat)+reptiles.,5,endo
378,Mammals (unspecified),89,animalnotspecified
379,Mammals (unspecified)/birds,7,animalnotspecified
380,man,139,
381,Mandrillus sphinx,1,endo
382,manure,1,animalnotspecified
383,marmot,22,animalnotspecified
384,marten,89,endo
385,Melanerpes carolinus; Odocoileus virginianus clavium,1,endo
386,Meliphaga chrysops,1,endo
387,Meliphaga virescens,1,endo
388,Melophorus sp.,3,ant
389,"Melophorus sp., Pheidole sp.",2,ant
390,Melophorus sp.; Rhytidoponera sp.; Acanthagenys rufogularis; Meliphaga virescens,1,ant
391,Messor andrei (harvester ant),1,ant
392,meteorochor,5986,wind
393,Methods originating from parent plant or diaspore,112,
394,"Microcebus murinus, Lemur catta; Coracopsis vasa",1,endo
395,Migrant wood warblers,1,endo
396,Mimus polyglottos,1,endo
397,Mimus thenca (Chilean mockingbird),1,endo
398,mirmecochory,1,ant
399,Mitu salvini (Salvin's currasow),1,endo
400,monkeys,3,endo
401,Monkeys,2,endo
402,monkeys including Cebus capucinus and other arboreal mammals including kinkajou,1,endo
403,mountain hare,41,animalnotspecified
404,mouse,314,animalnotspecified
405,mowing,8,
406,mule deer,8,animalnotspecified
407,multi-seeded generative dispersule,233,
408,Myadestes melanops (black-faced solitaire),1,endo
409,"Myadestes melanops (black-faced solitaire), Phainoptila melanoxantha (black-and-yellow silky fl ...",2,endo
410,Myadestes townsendi (solitaire),1,endo
411,Myiozetetes simalis,1,endo
412,Myoprocta exilis (acouchy),1,cache
413,myrmecochory,14,ant
414,"Nasua narica, Cebus capucinus, Agouti paca, Dasyprocta punctata, Proechimys semispinosa, Sciuru ...",1,cache
415,"Nasua narica, Cebus capucinus, Ateles geoffroyi, Dasyprocta punctata, Sciurus granatensis, Tapi ...",1,cache
416,nautochor,104547,autochory
417,no,180,
418,non specialized,21,
419,none,10,
420,Nucifraga columbiana (Clark's nutcracker),1,cache
421,nutcracker; rodents,1,cache
422,Odocoileus virginianus clavium,1,endo
423,ombrochor,634,ballistic
424,one-seeded generative dispersule,2216,
425,"Orang utan, rhinocerous, bears, elephant, crocodile",1,endo
426,Ornithochory,35,endo
427,Ornithochory - Mamalochory,13,animalnotspecified
428,Ortalis ruficauda,1,endo
429,Orthopsittaca manilata,1,endo
430,"Orthopsittaca manilata, Ara manilata, Amazona amazonica",1,endo
431,Orycteropus afer (aardvark),6,endo
432,Osmatreron bicincta,1,endo
433,other,734,
434,ox,8,animalnotspecified
435,pacarana,84,animalnotspecified
436,"Pachycondyla harpax, P. apicalis",1,ant
437,Pan troglodytes troglodytes,1,endo
438,"Pan troglodytes troglodytes, Cephalophus sylvicultor",1,endo
439,"Pan troglodytes troglodytes, Mandrillus sphinx",1,endo
440,"Pan troglodytes verus, Papio papio",2,endo
441,Papio anubis (Ghanan olive baboon,2,endo
442,Papio ursinus,1,endo
443,Paradisaea rudolphi (bird of paradise),1,endo
444,Paradoxurus (civets),1,endo
445,Paradoxurus hermaphroditus,1,endo
446,Paradoxurus hermaphroditus javanicus,6,endo
447,"Paradoxurus hermaphroditus javanicus, Hylobates klossii",1,endo
448,"Paradoxurus hermaphroditus javanicus, Hylobates syndactylus; Ducula spilorrhoa, Casuarius casua ...",1,endo
449,"Paradoxurus hermaphroditus, Viverra malaccensis; Ducula zoeae, Ptilinopus magnificus",1,endo
450,Paradoxurus philippinensis,1,endo
451,passive,1,autochory
452,Penelope marail,1,endo
453,pet,1,
454,"Phainopepla nitens (phainopepla), Melanerpes hypopolius (gila woodpecker), Mimus polyglottus (m ...",1,endo
455,"Phainoptila melanoxantha sp., Catharus gracilorostris, Myadesates melanops, Chamaepetes unicolo ...",1,endo
456,Pharomachrus mocinno,1,endo
457,Pheidole sp.,1,ant
458,Pheidole sp.; Rhytidoponera metallica,1,ant
459,Pheidole spp.,1,ant
460,pig,657,animalnotspecified
461,pigeon,1,endo
462,pine marten,22,endo
463,pintail,2,animalnotspecified
464,Platycercus caledonicus (green rosella),1,animalnotspecified
465,"Podarcis pityusensis; Martes martes (pine marten), Genetta genetta (spotted genet)",1,endo
466,possums,1,endo
467,"Potos flaavus, Sciurus sp., Cebus capucinus, Dasyprocta punctata, Heteromys desmarestianus, Hop ...",1,endo
468,Potos flavus,1,endo
469,Presbytis potenziani,1,endo
470,"Presbytis potenziani, Hylobates mulleri x agilis; Cryptophaps poecilorrhoa",1,endo
471,"Presbytis potenziani, Pongo pygmaeus, Macaca fascicularis",1,endo
472,Primarily bat,45,endo
473,Primarily bird,74,animalnotspecified
474,Primarily mammal,77,animalnotspecified
475,"Procyon lotor, Sciurus carolinensis; Cyanocorax yncas, Corvus ossifragus, Mimus polyglottos, Tu ...",1,endo
476,"Proechimys cuvieri, P. guyannensis, Myoprocta exilis, Dasyprocta leporina, Sciurus aestuans",1,endo
477,Psarocolius montezuma,1,endo
478,Psophia crepitans,1,endo
479,"Pterodorus granulosus; Sciurus ingrami, Cebus apella, Alouatta fusca, Leontopithicus chrysopygu ...",1,endo
480,"Pteroglossus aracari (toucanet); Saguinus midas (tamarin), Ateles geoffroyi (spider monkey), Ca ...",1,endo
481,Pteropus edwardsii,1,endo
482,Pteropus sp.,1,endo
483,"Pteropus sp.; Ptilinopus magnificus, P. aurantiifrons, Ducula spilorrhoa, D. zoeae",1,endo
484,"Pteropus sp.; Ptilinopus pulchellus, P. superbus, P. iozonus, Ducula spilorrhoa",1,endo
485,Pteropus vampyrus,1,endo
486,"Ptilinopus superbus, P. magnificus",1,endo
487,"Ptilonopus magnificus magnificus, Lopholaimus antarcticus, Ptilonopus regina regina, Ailuroedus ...",1,endo
488,Pycnonotus bimaculatus (bulbul),2,endo
489,"Pycnonotus cafer, P. luteolus",1,endo
490,"Pycnonotus leucogenys mesopotamia, Psittacula krameri",1,endo
491,"Pycnonotus xanthopygos (bulbul), Turdus merula (blackbird)",1,endo
492,"Pycnonotus xanthopygos (yellow-vented bulbul), Turdus merula (blackbird), Sylvia melanocephala  ...",1,endo
493,rabbit,627,animalnotspecified
494,rainwash,44,autochory
495,Ramphastos brevicarinatus,1,endo
496,"Ramphastos brevicarinatus, Crax sp.; Artibeus jamaicensis, Ateles geoffroyi, Heteromys desmares ...",1,endo
497,"Ramphastos spp. (toucans); Ateles paniscus (spider monkey), Alouatta seniculus (howler monkey), ...",1,endo
498,"Ramphastos swainsoni (chestnut-mandibled toucan), guan",1,endo
499,"Ramphastos swainsonii, R. sulfuratus, Tityra semifasciata, Baryphthengus (motmot), Trogon masse ...",1,endo
500,"Ramphastos swainsonii, Tityra semifasciata, Vireo flavoviridis",1,endo
501,Ramphastos tucanus,1,endo
502,"Ramphastos tucanus, Rupicola rupicola, Ara sp.; Cebus sp., Tayassu sp., Sciurus sp., Agouti sp.",1,endo
503,"Ramphocelus passerinii, Melanerpes chrysauchen; Heteromys desmarestianus, Hoplomys gymnurus, Da ...",1,endo
504,Redwing,3,endo
505,Reindeer,2,animalnotspecified
506,Reinwardtoena reinwardsti,1,
507,Reptiles.,15,animalnotspecified
508,Reptiles+birds.,3,endo
509,"Rhea americana, Cerdocyon thous, Chrysocyon brachyurus",1,endo
510,Rhea americana; Chrysocyon brachyurus,1,endo
511,"Rhytidoponera  tasmaniensis, Chelaner cf. rothsteini",1,animalnotspecified
512,Rhytidoponera ? metallica,1,animalnotspecified
513,Rhytidoponera inornata,1,animalnotspecified
514,Rhytidoponera metallica; Meliphaga chrysops; Meliphaga virescens,1,animalnotspecified
