"",".","Freq"
"282","For a comprehensive list, see: van Rheede van Oudtshoorn, K. and Van Rooyen, M.W. (1999). Dispe ...",2
"283","fox",62
"284","Freshwater currents (not stated whether diaspore floats or sinks)",9
"285","fruit bats",1
"286","Fruit bats",4
"287","Fruit bats; civet",1
"288","Fruit is fleshy",1
"289","fruit pigeon",1
"290","game",1
"291","Gazella dorcas (Dorcas gazelle), Capra nubiana (ibex), goat, camel",2
"292","generative dispersule",879
"293","Geochelone carbonaria, G. denticulata",1
"294","germinule",783
"295","Giraffe, Kudu",1
"296","goat",294
"297","Gorilla gorilla gorilla (lowland gorilla)",1
"298","Gorilla gorilla, Pan troglodytes troglodytes, Civettictus civetta; Ceratogymna atrata, C. fistu ...",1
"299","Gracula javanica, Turtur tigrinus",1
"300","gravity",13
"301","Gypohierax angolensis",1
"302","Gypohierax angolensis; Tockus fasciatus, Ceratogymna elata, C. atrata, Corvus albus, Merops alb ...",1
"303","Hapalemur griseus",1
"304","Hapalemur griseus occidentalis",1
"305","Hapalemur occidentalis, Lepilemur dorsalis, Lemur macaco",1
"306","Hapalemur simus",1
"307","Hapalemur simus, Ateles belzebuth; Colossoma bidens, Electrophorus electricus; Cotinga ridgwayi ...",1
"308","hare",185
"309","harvesting",1
"310","harvesting ants",1
"311","hay cutting",8
"312","hay making machinery",662
"313","hay transport",2
"314","hedgehog",1
"315","hemerochor",348
"316","Herbivorous mammals; crabs",2
"317","herpochor",100
"318","Heteromys desmarestianus",3
"319","Heteromys sp.",1
"320","Heteromys sp.; Chamaepetes unicolor, Aulacorhynchus prasinus",1
"321","hoarding",21
"322","horse",687
"323","horse?, agouti, squirrel, tapir?, peccary?",1
"324","humans",1
"325","Humans.",3
"326","hydrochory",24
"327","Hydrochory",1
"328","Hylobates agilis",1
"329","Hylobates lar",1
"330","Icterus sp. (orioles)",1
"331","iguanas, alligators",1
"332","Insects.",1
"333","invertebrate",1
"334","Iridomyrmex cf. nitidiceps, Pheidole sp.",1
"335","Iridomyrmex purpureus; Pheidole sp.; Acanthagenys rufogularis; Artamus cinereus; Corvus coronoi ...",1
"336","Iridomyrmex sp.",5
"337","Kudu, primates",1
"338","Lagopus spp. (grouse, ptarmigan)",3
"339","large birds including toucans",1
"340","Lepilemur dorsalis, Lemur macaco",1
"341","Leptonycteris curasoae; Sylvilagus audubonii (desert cottontail), Lepus californicus (black-tai ...",3
"342","Lepus californicus Gray (black-tailed jackrabbit), Odocoileus hemionus Colombianus (mule deer)",2
"343","livestock",3
"344","livestock and wild animals",1
"345","livestock, wild mammals",1
"346","Lizards",1
"347","Lizards+mammals (non-bat).",1
"348","Lopholaimus antarcticus",1
"349","Loxodonta africana",2
"350","Loxodonta africana (African elephant)",1
"351","Loxodonta africana capensis, Papio anubis",1
"352","Macaca fascicularis",4
"353","Macaque",2
"354","Macaque; civet",1
"355","Mamalochory",24
"356","mammal",420
"357","Mammalochory",1
"358","Mammals (bats).",49
"359","Mammals (bats)+birds",1
"360","Mammals (bats)+birds.",7
"361","Mammals (incl. bats), birds and fish",1
"362","Mammals (incl. bats), birds and reptiles",1
"363","Mammals (incl. bats), birds, reptiles and fish",2
"364","Mammals (incl. bats).",7
"365","Mammals (incl. bats)+birds",1
"366","Mammals (incl. bats)+birds.",58
"367","Mammals (non-bat)",2
"368","Mammals (non-bat) and reptiles",1
"369","Mammals (non-bat).",310
"370","Mammals (non-bat)+birds.",304
"371","Mammals (non-bat)+birds+ants.",2
"372","Mammals (non-bat)+birds+fish.",3
"373","Mammals (non-bat)+birds+reptiles.",2
"374","Mammals (non-bat)+crustacea",2
"375","Mammals (non-bat)+humans.",2
"376","Mammals (non-bat)+invertebrates (non-ant).",1
"377","Mammals (non-bat)+reptiles.",5
"378","Mammals (unspecified)",89
"379","Mammals (unspecified)/birds",7
"380","man",139
"381","Mandrillus sphinx",1
"382","manure",1
"383","marmot",22
"384","marten",89
"385","Melanerpes carolinus; Odocoileus virginianus clavium",1
"386","Meliphaga chrysops",1
"387","Meliphaga virescens",1
"388","Melophorus sp.",3
"389","Melophorus sp., Pheidole sp.",2
"390","Melophorus sp.; Rhytidoponera sp.; Acanthagenys rufogularis; Meliphaga virescens",1
"391","Messor andrei (harvester ant)",1
"392","meteorochor",5986
"393","Methods originating from parent plant or diaspore",112
"394","Microcebus murinus, Lemur catta; Coracopsis vasa",1
"395","Migrant wood warblers",1
"396","Mimus polyglottos",1
"397","Mimus thenca (Chilean mockingbird)",1
"398","mirmecochory",1
"399","Mitu salvini (Salvin's currasow)",1
"400","monkeys",3
"401","Monkeys",2
"402","monkeys including Cebus capucinus and other arboreal mammals including kinkajou",1
"403","mountain hare",41
"404","mouse",314
"405","mowing",8
"406","mule deer",8
"407","multi-seeded generative dispersule",233
"408","Myadestes melanops (black-faced solitaire)",1
"409","Myadestes melanops (black-faced solitaire), Phainoptila melanoxantha (black-and-yellow silky fl ...",2
"410","Myadestes townsendi (solitaire)",1
"411","Myiozetetes simalis",1
"412","Myoprocta exilis (acouchy)",1
"413","myrmecochory",14
"414","Nasua narica, Cebus capucinus, Agouti paca, Dasyprocta punctata, Proechimys semispinosa, Sciuru ...",1
"415","Nasua narica, Cebus capucinus, Ateles geoffroyi, Dasyprocta punctata, Sciurus granatensis, Tapi ...",1
"416","nautochor",104547
"417","no",180
"418","non specialized",21
"419","none",10
"420","Nucifraga columbiana (Clark's nutcracker)",1
"421","nutcracker; rodents",1
"422","Odocoileus virginianus clavium",1
"423","ombrochor",634
"424","one-seeded generative dispersule",2216
"425","Orang utan, rhinocerous, bears, elephant, crocodile",1
"426","Ornithochory",35
"427","Ornithochory - Mamalochory",13
"428","Ortalis ruficauda",1
"429","Orthopsittaca manilata",1
"430","Orthopsittaca manilata, Ara manilata, Amazona amazonica",1
"431","Orycteropus afer (aardvark)",6
