id,refid,pred,disp,para,p_fam,p_g,p_sp,sp,a_g,a_sp,continent,log_avg_diam,log_ant_size,disp_self,disp_myrm,disp_vert,disp_wind,plant_sp,h_sp,omni_sp,hab_forest,hab_shrubland,hab_desert,hab_grassland,hab_crop,hab_urban,lform_annual,lform_perenniel,ghab_forbherb,ghab_graminoid,ghab_shrubtree,ghab_other,shape_longnarrow,shape_round,shape_sphere,shape_odd,surface_smooth,surface_middle,surface_rugous,surface_appendage,lform,ghab,shape,surface,hab,country,diam_min,diam_max,avg_diam,ant_lmin,ant_lmax,ant_size,myrm,depo,disp.prob1,pred.prob1,para.prob1,result,dispersal,diet
6215,715,0,1,0,Fabaceae,Ornithopus,sativus,Ornithopus sativus,Messor,structor,Europe,0.301029996,0.698970004,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,annual,forb_herb,round,smooth,forest,Portugal,2,2,2,4,6,5,0,0,0.916334699,0.035727794,9.23E-05,disp,auto,plant
6216,715,0,1,0,Fabaceae,Ornithopus,sativus,Ornithopus sativus,Messor,structor,Europe,0.301029996,0.698970004,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,annual,forb_herb,round,smooth,forest,Portugal,2,2,2,4,6,5,0,0,0.916334699,0.035727794,9.23E-05,disp,auto,plant
6217,715,0,1,0,Fabaceae,Ornithopus,sativus,Ornithopus sativus,Messor,structor,Europe,0.301029996,0.698970004,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,annual,forb_herb,round,smooth,forest,Portugal,2,2,2,4,6,5,0,0,0.916334699,0.035727794,9.23E-05,disp,auto,plant
6219,715,0,1,0,Poaceae,Polypogon,monspeliensis,Polypogon monspeliensis,Messor,structor,Europe,0.041392685,0.698970004,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,annual,graminoid,round,smooth,forest,Portugal,1,1.2,1.1,4,6,5,0,0,0.881486141,0.102850454,1.24E-05,disp,auto,plant
6220,715,0,1,0,Poaceae,Polypogon,monspeliensis,Polypogon monspeliensis,Messor,structor,Europe,0.041392685,0.698970004,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,annual,graminoid,round,smooth,forest,Portugal,1,1.2,1.1,4,6,5,0,0,0.881486141,0.102850454,1.24E-05,disp,auto,plant
6221,715,0,1,0,Poaceae,Polypogon,monspeliensis,Polypogon monspeliensis,Messor,structor,Europe,0.041392685,0.698970004,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,annual,graminoid,round,smooth,forest,Portugal,1,1.2,1.1,4,6,5,0,0,0.881486141,0.102850454,1.24E-05,disp,auto,plant
6223,715,0,1,0,Poaceae,Phleum,,Phleum ,Messor,structor,Europe,0.511883361,0.698970004,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,perennial,graminoid,round,middle,forest,Portugal,3,3.5,3.25,4,6,5,0,0,0.900438609,0.053506094,0.001026623,disp,auto,plant
6224,715,0,1,0,Poaceae,Phleum,,Phleum ,Messor,structor,Europe,0.511883361,0.698970004,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,perennial,graminoid,round,middle,forest,Portugal,3,3.5,3.25,4,6,5,0,0,0.900438609,0.053506094,0.001026623,disp,auto,plant
6225,715,0,1,0,Poaceae,Phleum,,Phleum ,Messor,structor,Europe,0.511883361,0.698970004,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,perennial,graminoid,round,middle,forest,Portugal,3,3.5,3.25,4,6,5,0,0,0.900438609,0.053506094,0.001026623,disp,auto,plant
6230,715,0,1,0,Polygonaceae,Rumex,bucephalophorus,Rumex bucephalophorus,Messor,structor,Europe,0.255272505,0.698970004,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,both,forb_herb,odd,middle,forest,Portugal,1.3,2.3,1.8,4,6,5,0,0,0.974096955,0.013882128,3.30E-06,disp,auto,plant
