No.,Species,sp,accepted.family,hemisphere,latitude,longitude,StudyLocation.filter,Country,SeedMass,SeedMass.Source,SeedReleaseHeight,SeedReleaseHeight.Source,MaximumSDD,MeanSDD,mode,E or M,GF.binary,Reference.EL
1171,Cirsium spinosissimum,Cirsium spinosissimum,Asteraceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,2.611,LEDA,0.6,LEDA,30,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1172,Epilobium fleischeri,Epilobium fleischeri,Onagraceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.132,paper,0.4,LEDA,50,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1173,Erigeron angulosus,Erigeron angulosus,Asteraceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,NA,NA,NA,NA,75,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1174,Geum reptans,Geum reptans,Rosaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.849666667,LEDA,0.15,LEDA,4,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1175,Hieracium murorum,Hieracium murorum,Asteraceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.4,LEDA,0.6,LEDA,10,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1176,Hieracium staticifolium,Tolpis staticifolia,Asteraceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.48,paper,0.4,LEDA,75,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1177,Larix decidua,Larix decidua,Pinaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,7.1,other paper,35,LEDA,15,NA,abiotic,experiment,woody,Stöcklin & Bäumler 1996
1178,Linaria alpina,Linaria alpina,Plantaginaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.253,paper,0.1,LEDA,12,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1179,Myricaria germanica,Myricaria germanica,Tamaricaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.06,Kew,2,LEDA,100,NA,abiotic,experiment,woody,Stöcklin & Bäumler 1996
1180,Oxyria digyna,Oxyria digyna,Polygonaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.907,paper,0.15,LEDA,1,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1181,Poa alpina,Poa alpina,Poaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.35,Kew,0.5,LEDA,0.5,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1182,Poa nemoralis,Poa nemoralis,Poaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.2,Kew,1.06,LEDA,50,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1183,Rhododendron ferrugineum,Rhododendron ferrugineum,Ericaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.03,Kew,1.5,LEDA,25,NA,abiotic,experiment,woody,Stöcklin & Bäumler 1996
1184,Rumex scutatus,Rumex scutatus,Polygonaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,1.222,paper,0.4,LEDA,12,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1185,Sagina linnaei,Sagina saginoides,Caryophyllaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.02,Kew,0.07,LEDA,10,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1186,Salix sp.,Salix sp.,Salicaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,NA,NA,NA,NA,100,NA,abiotic,experiment,woody,Stöcklin & Bäumler 1996
1187,Saxifraga aizoides,Saxifraga aizoides,Saxifragaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.04,paper,0.3,LEDA,40,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1188,Sempervivum sp.,Sempervivum sp.,Crassulaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,NA,NA,NA,NA,0.5,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1189,Silene rupestris,Silene rupestris,Caryophyllaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.074,LEDA,0.25,LEDA,10,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1190,Solidago alpestris,Solidago alpestris,Asteraceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,NA,NA,NA,NA,4,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1191,Taraxacum officinale,Taraxacum officinale,Asteraceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.69,paper mean,0.1524,USDA,50,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1192,Trifolium badium,Trifolium badium,Fabaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.75,Kew,0.2,LEDA,10,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1193,Trifolium pallescens,Trifolium pallescens,Fabaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.688,paper,NA,NA,6,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1194,Tussilago farfara,Tussilago farfara,Asteraceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,0.3,other paper,0.3,other paper,20,NA,abiotic,experiment,herbaceous,Stöcklin & Bäumler 1996
1196,Cirsium arvense,Cirsium arvense,Asteraceae,N,51.78375,8.815833333,Bad Lippspringe,Germany,1.328363636,Moles,2,Moles,NA,20.42237794,abiotic,experiment,herbaceous,Tackenberg 2003
1197,Senecio nemorensis,Senecio nemorensis,Asteraceae,N,51.78375,8.815833333,Bad Lippspringe,Germany,NA,NA,1.5,LEDA,NA,6.733209137,abiotic,experiment,herbaceous,Tackenberg 2003
1202,Amphicarpaea bracteata,Amphicarpaea bracteata,Fabaceae,N,41.78333333,-91.57055556,"MacBride Nature Recreation Area, Johnson County, Iowa",USA,205.3,paper,1.8,paper,3.25,NA,abiotic,experiment,herbaceous,Trapp 1988
1216,Gentiana germanica,Gentianella germanica,Gentianaceae,N,50.85083333,5.913333333,"nature reserve of Vrakelberg, S . L imburg, The Netherlands",Netherlands,0.18,paper,0.16,paper mean,0.8,0.316417565,abiotic,experiment,herbaceous,Verkaar et al. 1983
1217,Scabiosa columbaria,Scabiosa columbaria,Caprifoliaceae,N,50.85083333,5.913333333,"nature reserve of Vrakelberg, S . L imburg, The Netherlands",Netherlands,1.714234007,Moles,0.8,Moles,1.34,0.341269615,abiotic,experiment,herbaceous,Verkaar et al. 1983
1221,Mimulus guttatus,Mimulus guttatus,Phrymaceae,N,40.78694444,-111.7922222,"Red Butte Canyon, Salt Lake City",USA,0.002,other paper,0.6,Moles,400,250,abiotic,experiment,herbaceous,Waser et al. 1982
1223,Vulpia fasciculata,Vulpia fasciculata,Poaceae,N,53.19194444,-4.463888889,"Aberffraw, North Wales",UK,2.49,paper,0.2,paper,0.921,0.068108205,abiotic,experiment,herbaceous,Watkinson 1978; Carey & Watkinson 1993
1224,Erythronium grandiflorum,Erythronium grandiflorum,Liliaceae,N,38.95805556,-106.9880556,"Rocky Mountain Biological Laboratory at Gothic, Gunnison County, Colorado",USA,4.316,Moles,0.3,internet (wikipedia),0.85,0.325,abiotic,experiment,herbaceous,Weiblen & Thomson 1995
1231,Dipsacus sylvestris,Dipsacus fullonum,Caprifoliaceae,N,42.40555556,-85.40083333,"Kellogg Biological Station of Michigan State University, Kalamazoo County, Michigan",USA,3.131666667,Moles,2,paper,1.5,NA,abiotic,experiment,herbaceous,Werner 1975
1250,Lithospermum caroliniense,Lithospermum caroliniense,Boraginaceae,N,43.34527778,-81.85055556,Lake Huron (Pinery Provincial Park),Canada,5.657,paper,0.438,paper mean,1.99,0.588333333,abiotic,experiment,herbaceous,Westelaken & Maun 1985
1298,Leucadendron rubrum,Leucadendron rubrum,Proteaceae,S,-34.24722222,18.41666667,Cape Peninsula,South Africa,23.94,Kew,2.5,internet (http://www.flowervalley.co.za/en/specie/leucadendron-rubrum),63,24,abiotic,model,woody,Higgins et al. 2003a
1323,Pinus halepensis,Pinus halepensis,Pinaceae,N,32.21666667,35.01666667,"Nir-Ezyon, Mt. Carmel (116m altitude) & Mt. Pithulim, Judean Hills (628m altitude)",Israel,21,Kew,25,internet (wikipedia),216000,NA,abiotic,model,woody,Nathan et al. 2001
1345,Alliaria petiolata,Alliaria petiolata,Brassicaceae,N,44.02972222,-79.53166667,"Koffler Scientific Reserve at Jokers Hill (KSR), a University of Toronto field site near King City, Ontario",Canada,2.245,Kew,1.2,paper,4,1.82,abiotic,experiment,herbaceous,Biswas & Wagner 2015
1348,Erodiophyllum elderi,Erodiophyllum elderi,Asteraceae,S,-32.11666667,139.3666667,"Koonamore Station, South Australia",Australia,2500,paper,0.5,PlantNET,1.09,0.3,abiotic,experiment,woody,Emmerson et al. 2010
1353,Cariniana estrellensis,Cariniana estrellensis,Lecythidaceae,S,-21.29638889,-47.67472222,"Ribeir?o Preto, S?o Paulo State",Brazil,NA,NA,45,paper,345,119.64,abiotic,model,woody,Guidugli et al. 2016
1362,Swietenia macrophylla,Swietenia macrophylla,Meliaceae,N,19.5,-88.16666667,"Felipe Carrillo Puerto, Quintana Roo",Mexico,566,Kew,29.62184142,paper,30,12.62264416,abiotic,experiment,woody,Alcalá et al. 2014
1363,Swietenia macrophylla,Swietenia macrophylla,Meliaceae,S,-15.25,-66.5,"Chimanes Permanent Timber Production Forest, Chimanes Region, state of Beni",Bolivia,566,Kew,49,paper,80,15.69196876,abiotic,experiment,woody,Gullison et al. 1996
1381,Acacia elata,Acacia elata,Fabaceae,S,-33.9816,18.891432,Western Cape,South Africa,32.5,Kew,16.2,paper,6,1.7,abiotic,experiment,woody,Donaldson et al. 2014
1382,Abies alba,Abies alba,Pinaceae,N,42.87777778,-0.805,"Las Eras (pure stands, elevation 1335m)",Spain,84.12,paper,40,paper,NA,9.89,abiotic,experiment,woody,de Andrés et al. 2014
1383,Abies alba,Abies alba,Pinaceae,N,42.89861111,-0.799722222,"Gamueta (mixed stands, elevation 1405m)",Spain,84.12,paper,40,paper,NA,21.55,abiotic,experiment,woody,de Andrés et al. 2014
1388,Mazus reptans,Mazus reptans,Mazaceae,N,32.745,129.8738889,Nagasaki Prefecture,Japan,0.0925,paper,0.1,paper,0.97,NA,abiotic,model,herbaceous,Amador et al. 2013
1491,Anthemis chrysantha,Anthemis chrysantha,Asteraceae,N,37.55222222,-1.172777778,"La Azoh?a (Cartagena, Murcia; elevation 30m)",Spain,0.225,paper,0.3,paper,1.31,NA,abiotic,experiment,herbaceous,Aguado et al. 2012
1497,Ipomoea sindica,Ipomoea eriocarpa,Convolvulaceae,N,24.86146111,67.00993889,"Karachi, Sindh",Pakistan,8.2,Kew,2,paper,1.2,0.65751881,abiotic,experiment,herbaceous,Aziz & Shaukat 2011
1498,Sorghum halepense,Sorghum halepense,Poaceae,N,40.3,-3.483333333,"La Poveda Research Farm, Madrid (elevation 618m)",Spain,2.6,paper,2,paper,5,NA,abiotic,experiment,herbaceous,Barroso et al. 2012
1501,Goodyera repens,Goodyera repens,Orchidaceae,N,53.589418,22.819442,V1 - Biebrza river valley,Poland,0.002,Kew,0.4,LEDA,2.2,NA,abiotic,experiment,herbaceous,Brzosko et al. 2013
1504,Swietenia macrophylla,Swietenia macrophylla,Meliaceae,S,-7.833333333,-50.26666667,"Marajoara, Para state, 34 km northwest of Redencao",Brazil,560,paper,50,paper,155,NA,abiotic,experiment,woody,Norghauer et al. 2011
1505,Coronilla minima,Coronilla minima,Fabaceae,N,41.65,1.85,"Castellbel i el Vilar, Barcelona (elevation 260m)",Spain,10,paper,0.45,paper,1.5,0.153,abiotic,experiment,woody,Arnan et al. 2011
1509,Fumana ericoides,Fumana ericoides,Cistaceae,N,41.65,1.85,"Castellbel i el Vilar, Barcelona (elevation 260m)",Spain,2.2,paper,0.4,paper,0.7,0.14,abiotic,experiment,woody,Arnan et al. 2010
1514,Bromus tectorum,Bromus tectorum,Poaceae,N,40.1,-108.1166667,Scenery Gulch burn (elevation 2010m) -unburned,USA,2.974,paper,0.4,paper,1.66,0.38,abiotic,experiment,herbaceous,Monty et al. 2013
1515,Eucalyptus globulus,Eucalyptus globulus,Myrtaceae,N,42,-8,Galicia (elevation 300m),Spain,2,paper,24.86666667,paper,80,6.51425762,abiotic,experiment,woody,Calviño-Cancela & Rubido-Bará 2013
1516,Centaurea diffusa,Centaurea diffusa,Asteraceae,N,39.92676944,-105.1937389,"near Superior, Colorado",USA,3.34,Kew,0.6,LEDA,1039,119,abiotic,experiment,herbaceous,Baker et al. 2010
1517,Imperata cylindrica,Imperata cylindrica,Poaceae,N,31.197532,-89.205637,"Camp Shelby Training Site, Mississippi",USA,0.11,Kew,0.7,paper,37,3.3,abiotic,experiment,herbaceous,Yager et al. 2011
1519,Solanum rostratum,Solanum rostratum,Solanaceae,N,43.52,87.09,southern suburbs of Changji City (elevation 790m),China,3.3,paper,0.43,paper,14.9,3.4,abiotic,experiment,herbaceous,Eminniyaz et al. 2013
1523,Pachira quinata,Pachira quinata,Malvaceae,N,2.666666667,-74.16666667,"Tinigua National Park, west of La Macarena Mountains",Colombia,32.9,other paper,35,other paper,50,NA,abiotic,experiment,woody,Castellanos & Stevenson 2011
1524,Polygala vayredae,Polygala vayredae,Polygalaceae,N,42.306328,2.559421,Alta Garrotxa (elevation 820m),Spain,9.1,paper,0.25,paper,0.46,0.059,abiotic,experiment,woody,Castro et al. 2010
1532,Aloe plicatilis,Aloe plicatilis,Xanthorrhoeaceae,S,-33.73423,18.962109,south-western Cape,South Africa,6.8,paper,1.5,paper,15.3,6.405555556,abiotic,model,woody,Cousins et al. 2013
1533,Abies alba,Abies alba,Pinaceae,N,47.841543,7.960641,Black Forest,Germany,52,paper,14,paper,189,59,abiotic,experiment,woody,Cremer et al. 2012
1550,Bromus tectorum,Bromus tectorum,Poaceae,N,39.8199535,-108.0006865,"Grand Valley Mesa, Ryan Gulch, Wagon Road Ridge in Garfield and Rio Blanco Countries, Colorado",USA,2.974,other paper,0.2,paper,20.8,2.37,abiotic,experiment,herbaceous,Johnston 2011
1552,Microstegium vimineum,Microstegium vimineum,Poaceae,N,37.282512,-80.475025,"Pandapas Pond Recreation Area, Jefferson National Forest, Giles County, VA",USA,13.98751535,paper calculation,1,internet (wikipedia),2.4,0.21,abiotic,experiment,herbaceous,Tekiela & Barney 2013
1554,Carex pseudocyperus,Carex pseudocyperus,Cyperaceae,N,52.16194444,5.116944444,Westbroekse Zodden,Netherlands,0.73,paper,1,paper,3,NA,abiotic,model,herbaceous,Soomers et al. 2013
1555,Phragmites australis,Phragmites australis,Poaceae,N,52.16194444,5.116944444,Westbroekse Zodden,Netherlands,0.11,other paper,3,paper,1000,NA,abiotic,model,herbaceous,Soomers et al. 2013
1561,Pinus pinaster,Pinus pinaster,Pinaceae,N,41.26666667,-4.483333333,Coca,Spain,69,LEDA,35,internet (wikipedia),NA,25.275,abiotic,model,woody,Juez et al. 2014
1562,Pinus pinaster,Pinus pinaster,Pinaceae,N,41.36666667,-4.483333333,Cuellar,Spain,69,LEDA,35,internet (wikipedia),NA,61.37,abiotic,model,woody,Juez et al. 2014
1563,Bromus tectorum,Bromus tectorum,Poaceae,N,40.37253,-105.58369,Rocky Mountain National Park (elevation 1321-2667m),USA,2.974,other paper,0.45,LEDA,0.1,NA,abiotic,experiment,herbaceous,Kanarek & Kao 2011
1577,Lepidium latifolium,Lepidium latifolium,Brassicaceae,N,38.26666667,-121.4333333,"Cosumnes River Preserve, San Francisco Bay Delta, California",USA,0.2,Kew,1.1584,paper,NA,1.167,abiotic,experiment,herbaceous,Leininger & Foin 2009
1578,Lepidium latifolium,Lepidium latifolium,Brassicaceae,N,37.5,-122.1,"Don Edwards NWR, San Francisco Bay Delta, California",USA,0.2,Kew,1.1516,paper,NA,0.937,abiotic,experiment,herbaceous,Leininger & Foin 2009
1586,Lachnoloma lehmannii,Lachnoloma lehmannii,Brassicaceae,N,44.37358333,88.14175,"Cainan of Fukang City, on the southern edge of Junggar Basin, Xinjiang Province (elevation 454m)",China,22.4,paper,0.31,eFloras,3.5,0.5,abiotic,experiment,herbaceous,Mamut et al. 2014
1587,Acer platanoides,Acer platanoides,Sapindaceae,N,41.95,-73.25,"Great Mountain Forest, Litchfield County, Connecticut",USA,158,paper,25,LEDA,NA,5.5,abiotic,experiment,woody,Martin & Canham 2010
1588,Acer rubrum,Acer rubrum,Sapindaceae,N,41.95,-73.25,"Great Mountain Forest, Litchfield County, Connecticut",USA,19,paper,20.7264,USDA,NA,6.1,abiotic,experiment,woody,Martin & Canham 2010
1589,Acer saccharum,Acer saccharum,Sapindaceae,N,41.95,-73.25,"Great Mountain Forest, Litchfield County, Connecticut",USA,65,paper,30.48,USDA,NA,7.6,abiotic,experiment,woody,Martin & Canham 2010
1590,Ailanthus altissima,Ailanthus altissima,Simaroubaceae,N,41.95,-73.25,"Great Mountain Forest, Litchfield County, Connecticut",USA,26,paper,25,LEDA,NA,15.2,abiotic,experiment,woody,Martin & Canham 2010
1591,Fagus grandifolia,Fagus grandifolia,Fagaceae,N,41.95,-73.25,"Great Mountain Forest, Litchfield County, Connecticut",USA,284,paper,36.576,Moles,NA,4.9,abiotic,experiment,woody,Martin & Canham 2010
1592,Fraxinus americana,Fraxinus americana,Oleaceae,N,41.95,-73.25,"Great Mountain Forest, Litchfield County, Connecticut",USA,12,paper,27.432,USDA,NA,14.4,abiotic,experiment,woody,Martin & Canham 2010
1593,Pinus strobus,Pinus strobus,Pinaceae,N,41.95,-73.25,"Great Mountain Forest, Litchfield County, Connecticut",USA,17,paper,45.72,USDA,NA,6.6,abiotic,experiment,woody,Martin & Canham 2010
1594,Prunus serotina,Prunus serotina,Rosaceae,N,41.95,-73.25,"Great Mountain Forest, Litchfield County, Connecticut",USA,107,paper,40.8432,Moles,NA,3.1,abiotic,experiment,woody,Martin & Canham 2010
1595,Quercus rubra,Quercus rubra,Fagaceae,N,41.95,-73.25,"Great Mountain Forest, Litchfield County, Connecticut",USA,3629,paper,25,LEDA,NA,4.3,abiotic,experiment,woody,Martin & Canham 2010
1596,Tsuga canadensis,Tsuga canadensis,Pinaceae,N,41.95,-73.25,"Great Mountain Forest, Litchfield County, Connecticut",USA,2,paper,30,LEDA,NA,4.3,abiotic,experiment,woody,Martin & Canham 2010
1597,Luehea seemannii,Luehea seemannii,Malvaceae,N,8.983333333,-79.55,Parque Natural Metropolitano,Panama,2.5,paper,40,paper,4988,105,abiotic,model,woody,Maurer et al. 2013
1598,Fagus sylvatica,Fagus sylvatica,Fagaceae,N,41.11666667,-3.5,?El Chaparral? forest of Montejo de la Sierra (elevation 1250-1500m),Spain,300,other paper,40,other paper,NA,16.6,abiotic,model,woody,Millerón et al. 2013
1601,Brassavola nodosa,Brassavola nodosa,Orchidaceae,N,16.7,-88.16666667,Peter Douglas Cay (island),Belize,0.0016,paper,0.5,paper,7,3.375,abiotic,model,herbaceous,Murren & Ellison 1998
1605,Hordeum spontaneum,Hordeum spontaneum,Poaceae,N,31.26222222,34.80138889,"Campus Bergman of Ben Gurion University, Beer Sheva",Israel,46.1,paper,NA,NA,2,0.556,abiotic,experiment,herbaceous,Volis et al. 2010
1607,Amphicarpaea edgeworthii,Amphicarpaea edgeworthii,Fabaceae,N,39.99179444,116.2097861,"Fragrant Hill, Beijing (elevation 128m)",China,456.32,paper,1.5,paper,0.57,0.203,abiotic,experiment,herbaceous,Zhang et al. 2015
1612,Vriesea gigantea,Vriesea gigantea,Bromeliaceae,S,-30.33333333,-50.83333333,"Itapu? State Park, Viam?o, Rio Grande do Sul State",Brazil,NA,NA,3,paper,8,1.381525522,abiotic,experiment,herbaceous,Paggi et al. 2010
1613,Abies alba,Abies alba,Pinaceae,N,49.95,20.45,Carpathian foothills,Poland,66.98122946,paper mean,29,paper,14.7,NA,abiotic,experiment,woody,Paluch 2011
1623,Veronica densifolia,Veronica densifolia,Plantaginaceae,S,-45.08486111,168.8974444,NZ Alps,New Zealand,NA,NA,0.02,paper,1.105,0.1263,abiotic,experiment,woody,Pufal & Garnock-Jones 2010
1624,Veronica thomsonii,Veronica thomsonii,Plantaginaceae,S,-45.05912963,168.8176852,NZ Alps,New Zealand,NA,NA,0.02,paper,0.387,0.1001,abiotic,experiment,herbaceous,Pufal & Garnock-Jones 2010
1625,Veronica cheesmanii,Veronica cheesmanii,Plantaginaceae,S,-41.84728889,172.7957944,NZ Alps,New Zealand,NA,NA,0.02,paper,0.12,0.0554,abiotic,experiment,herbaceous,Pufal & Garnock-Jones 2010
1626,Veronica spathulata,Veronica spathulata,Plantaginaceae,S,-45.08486111,168.8974444,NZ Alps,New Zealand,NA,NA,0.02,paper,0.549,0.1069,abiotic,experiment,woody,Pufal & Garnock-Jones 2010
1627,Veronica planopetiolata,Veronica planopetiolata,Plantaginaceae,S,-45.08486111,168.8974444,NZ Alps,New Zealand,NA,NA,0.02,paper,0.23,0.1581,abiotic,experiment,woody,Pufal & Garnock-Jones 2010
1634,Acer negundo,Acer negundo,Sapindaceae,N,52.44222222,13.60638889,"Spree River, Berlin",Germany,48,paper,0.5,paper,1200,NA,abiotic,experiment,woody,Säumel & Kowarik 2013
1635,Acer platanoides,Acer platanoides,Sapindaceae,N,52.44222222,13.60638889,"Spree River, Berlin",Germany,177,paper,0.5,paper,1200,NA,abiotic,experiment,woody,Säumel & Kowarik 2013
1636,Acer saccharinum,Acer saccharinum,Sapindaceae,N,52.44222222,13.60638889,"Spree River, Berlin",Germany,52,paper,0.5,paper,1200,NA,abiotic,experiment,woody,Säumel & Kowarik 2013
1637,Ailanthus altissima,Ailanthus altissima,Simaroubaceae,N,52.44222222,13.60638889,"Spree River, Berlin",Germany,52,paper,0.5,paper,1200,NA,abiotic,experiment,woody,Säumel & Kowarik 2013
1638,Fraxinus excelsior,Fraxinus excelsior,Oleaceae,N,52.44222222,13.60638889,"Spree River, Berlin",Germany,71,paper,0.5,paper,1200,NA,abiotic,experiment,woody,Säumel & Kowarik 2013
1639,Robinia pseudoacacia,Robinia pseudoacacia,Fabaceae,N,52.44222222,13.60638889,"Spree River, Berlin",Germany,320,paper,0.5,paper,1200,NA,abiotic,experiment,woody,Säumel & Kowarik 2013
1640,Tilia platyphyllos,Tilia platyphyllos,Malvaceae,N,52.44222222,13.60638889,"Spree River, Berlin",Germany,186,paper,0.5,paper,1200,NA,abiotic,experiment,woody,Säumel & Kowarik 2013
1641,Ulmus glabra,Ulmus glabra,Ulmaceae,N,52.44222222,13.60638889,"Spree River, Berlin",Germany,8,paper,0.5,paper,1200,NA,abiotic,experiment,woody,Säumel & Kowarik 2013
1643,Fraxinus pennsylvanica,Fraxinus pennsylvanica,Oleaceae,N,57.78333333,45.23333333,"Dessau Forest District, Saalberghau Nature Reserve (elevation 57m)",Germany,49.3,paper,34,paper,150,47,abiotic,model,woody,Schmiedel et al. 2013
1644,Fraxinus pennsylvanica,Fraxinus pennsylvanica,Oleaceae,N,51.83083333,12.24236111,River Elbe near Dessau in Sachsen-Anhalt,Germany,49.3,paper,20,paper,314000,NA,abiotic,model,woody,Schmiedel & Tackenberg 2013
1645,Fraxinus pennsylvanica,Fraxinus pennsylvanica,Oleaceae,N,51.83083333,12.24236111,River Elbe near Dessau in Sachsen-Anhalt,Germany,49.3,paper,20,paper,250,NA,abiotic,model,woody,Schmiedel & Tackenberg 2013
1646,Fraxinus excelsior,Fraxinus excelsior,Oleaceae,N,51.83083333,12.24236111,River Elbe near Dessau in Sachsen-Anhalt,Germany,70,paper mean,25,paper,76000,NA,abiotic,model,woody,Schmiedel & Tackenberg 2013
1647,Fraxinus excelsior,Fraxinus excelsior,Oleaceae,N,51.83083333,12.24236111,River Elbe near Dessau in Sachsen-Anhalt,Germany,70,paper mean,25,paper,250,NA,abiotic,model,woody,Schmiedel & Tackenberg 2013
1652,Dipterocarpus humeratus,Dipterocarpus humeratus,Dipterocarpaceae,N,5.85,117.9333333,"Sepilok Forest Reserve (SFR), Malaysian Borneo (elevation 85m)",Malaysia,19850,paper,30,paper,10.86,NA,abiotic,experiment,woody,Smith et al. 2015
1653,Dipterocarpus kerrii,Dipterocarpus kerrii,Dipterocarpaceae,N,5.85,117.9333333,"Sepilok Forest Reserve (SFR), Malaysian Borneo (elevation 85m)",Malaysia,6040,paper,30,paper,10.94,NA,abiotic,experiment,woody,Smith et al. 2015
1654,Hopea beccariana,Hopea beccariana,Dipterocarpaceae,N,5.85,117.9333333,"Sepilok Forest Reserve (SFR), Malaysian Borneo (elevation 85m)",Malaysia,160,paper,30,paper,19.9,NA,abiotic,experiment,woody,Smith et al. 2015
1655,Shorea acuminatissima,Shorea acuminatissima,Dipterocarpaceae,N,5.85,117.9333333,"Sepilok Forest Reserve (SFR), Malaysian Borneo (elevation 85m)",Malaysia,760,paper,30,paper,9.65,NA,abiotic,experiment,woody,Smith et al. 2015
1656,Shorea argentifolia,Shorea argentifolia,Dipterocarpaceae,N,5.85,117.9333333,"Sepilok Forest Reserve (SFR), Malaysian Borneo (elevation 85m)",Malaysia,680,paper,30,paper,39.54,NA,abiotic,experiment,woody,Smith et al. 2015
1657,Shorea beccariana,Shorea beccariana,Dipterocarpaceae,N,5.85,117.9333333,"Sepilok Forest Reserve (SFR), Malaysian Borneo (elevation 85m)",Malaysia,3970,paper,30,paper,17.82,NA,abiotic,experiment,woody,Smith et al. 2015
1658,Shorea falciferoides,Shorea falciferoides,Dipterocarpaceae,N,5.85,117.9333333,"Sepilok Forest Reserve (SFR), Malaysian Borneo (elevation 85m)",Malaysia,1640,paper,30,paper,16.33,NA,abiotic,experiment,woody,Smith et al. 2015
1659,Shorea gibbosa,Shorea gibbosa,Dipterocarpaceae,N,5.85,117.9333333,"Sepilok Forest Reserve (SFR), Malaysian Borneo (elevation 85m)",Malaysia,1040,paper,30,paper,7.45,NA,abiotic,experiment,woody,Smith et al. 2015
1660,Shorea macroptera,Shorea macroptera,Dipterocarpaceae,N,5.85,117.9333333,"Sepilok Forest Reserve (SFR), Malaysian Borneo (elevation 85m)",Malaysia,2010,paper,30,paper,19.41,NA,abiotic,experiment,woody,Smith et al. 2015
1661,Shorea mecistopteryx,Shorea mecistopteryx,Dipterocarpaceae,N,5.85,117.9333333,"Sepilok Forest Reserve (SFR), Malaysian Borneo (elevation 85m)",Malaysia,11790,paper,30,paper,22.73,NA,abiotic,experiment,woody,Smith et al. 2015
1662,Shorea seminis,Shorea seminis,Dipterocarpaceae,N,5.85,117.9333333,"Sepilok Forest Reserve (SFR), Malaysian Borneo (elevation 85m)",Malaysia,1940,paper,30,paper,6.33,NA,abiotic,experiment,woody,Smith et al. 2015
1663,Shorea smithiana,Shorea smithiana,Dipterocarpaceae,N,5.85,117.9333333,"Sepilok Forest Reserve (SFR), Malaysian Borneo (elevation 85m)",Malaysia,2640,paper,30,paper,20.71,NA,abiotic,experiment,woody,Smith et al. 2015
1664,Shorea xanthophylla,Shorea xanthophylla,Dipterocarpaceae,N,5.85,117.9333333,"Sepilok Forest Reserve (SFR), Malaysian Borneo (elevation 85m)",Malaysia,2480,paper,30,paper,8.26,NA,abiotic,experiment,woody,Smith et al. 2015
1665,Dipterocarpus grandiflorus,Dipterocarpus grandiflorus,Dipterocarpaceae,N,5.85,117.9333333,"Sepilok Forest Reserve (SFR), Malaysian Borneo (elevation 85m)",Malaysia,43380,paper,45,paper,NA,23.13,abiotic,model,woody,Smith et al. 2016
