source,site_id,lat,long,family,genus,species,sp,mode,color_desc,habit,fruit_length
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,pruinosa var. dissona,Crataegus pruinosa var. dissona,endo,red,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,pruinosa var. latisepala,Crataegus pruinosa var. latisepala,endo,red,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,holmesiana,Crataegus holmesiana,endo,red,tree,11
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,pedicellata,Crataegus pedicellata,endo,red,tree,8.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,pedicellata var. albicans,Crataegus pedicellata var. albicans,endo,red,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,pedicellata var. robesoniana,Crataegus pedicellata var. robesoniana,endo,red,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,pringlei,Crataegus pringlei,endo,red,tree,10
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,pringlei var. lobulata,Crataegus pringlei var. lobulata,endo,red,,9
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,anomala,Crataegus anomala,endo,red,shrub,10
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,submollis,Crataegus submollis,endo,red,shrub,13.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,dilatata,Crataegus dilatata,endo,red,tree,12.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Crataegus,succulenta,Crataegus succulenta,endo,red,tree,9.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Fragaria,virginiana,Fragaria virginiana,endo,red,,12.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Fragaria,virginiana var. terrae-novae,Fragaria virginiana var. terrae-novae,endo,red,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Fragaria,vesca,Fragaria vesca,endo,red,,NA
