sp,Growth form,Dispersal unit,Dispersal adaptation,Notes on propagule and dispersal in NZ,Notes on propagule and dispersal overseas,Primary mode,other mode,third mode,,mode
Hymenophyllum dilatatum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hymenophyllum ferrugineum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hymenophyllum flabellatum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hymenophyllum flexuosum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hymenophyllum lyallii,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hymenophyllum malingii,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hymenophyllum minimum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hymenophyllum multifidum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hymenophyllum peltatum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hymenophyllum pulcherrimum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hymenophyllum rarum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hymenophyllum revolutum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hymenophyllum rufescens,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hymenophyllum sanguinolentum agg.,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hymenophyllum scabrum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hymenophyllum villosum,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hypericum  ,herb,seed,,"""   ""","""   """,wind,water,,,wind
Hypericum  ,herb,seed,,"""   ""","""   """,wind,water,,,wind
Hypericum gramineum,herb,seed,,"""   ""","""   """,wind,water,,,wind
Hypericum japonicum agg.,herb,seed,,"""   ""","""   """,wind,water,,,wind
Hypolepis amaurorachis,fern,spore,minute,,"""   """,wind,,,,wind
Hypolepis ambigua,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hypolepis dicksonioides,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hypolepis distans,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hypolepis lactea,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hypolepis millefolium,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hypolepis rufobarbata,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Hypoxis hookeri,herb,seed,minute,,,wind,,,,wind
Ichthyostomum pygmaeum,herb,seed,minute,,,wind,,,,wind
Ileostylus micranthus,shrub,berry,fleshy,,frugivory ,frugivory,,,,endo
Imperata cheesemanii,herb,floret,hairy,spikelets hairy,,wind,,,,wind
Iphigenia novae-zelandiae,herb,seed,,"seed reticulate, on long funicle",endozoochory ,wind,capsule,,,wind
Ipomoea cairica,vine,seed,,,"Thien 1989, Smith 1992,",water,wind,,,water
Ipomoea pes-caprae,vine,seed,,"""   ""","""   """,water,wind,,,water
Isachne globosa,herb,floret,,,,water,wind,,,water
Isoetes  ,fern ally,megaspore,spongy,"""   """,some species ,water,,,,water
Isoetes alpina,fern ally,megaspore,spongy,"""   ""","""   """,water,,,,water
Isoetes kirkii,fern ally,megaspore,spongy,"""   ""","""   """,water,,,,water
Isolepis aucklandica,herb,nut,",",,,water,granivory,attachment,,water
Isolepis basilaris,herb,nut,,,"""   """,water,granivory,attachment,,water
Isolepis caligenis,herb,nut,,,"""   """,water,granivory,attachment,,water
Isolepis cernua,herb,nut,,,"""   """,water,granivory,attachment,,water
Isolepis crassiuscula,herb,nut,,,"""   """,water,granivory,attachment,,water
Isolepis distigmatosa,herb,nut,,,"""   """,water,granivory,attachment,,water
Isolepis fluitans,herb,nut,,,"""   """,water,granivory,attachment,,water
Isolepis habra,herb,nut,,,"""   """,water,granivory,attachment,,water
Isolepis inundata,herb,nut,,,"""   """,water,granivory,attachment,,water
Isolepis pottsii,herb,nut,,,"""   """,water,granivory,attachment,,water
Isolepis praetextata,herb,nut,,,"""   """,water,granivory,attachment,,water
Isolepis prolifer,herb,nut,,,"""   """,water,granivory,attachment,,water
Isolepis reticularis,herb,nut,,,"""   """,water,granivory,attachment,,water
Isolepis subtilissima,herb,nut,,,"""   """,water,granivory,attachment,,water
Ixerba brexioides,tree,seed,arillate,endosperm arillate. Frugivory ,,frugivory,,,,endo
Jovellana repens,herb,seed,,"seed small, reticulate", ,wind,water,,,wind
Jovellana sinclairii,herb,seed,,"""   ""","""   """,wind,water,,,wind
Juncus antarcticus,herb,seed,mucilage,"al. 2004, ",,water,wind,attachment,,water
Juncus australis,herb,seed,mucilage,"""   ""","""   """,water,wind,attachment,,water
Juncus caespiticius,herb,seed,mucilage,"""   ""","""   """,water,wind,attachment,,water
Juncus distegus,herb,seed,mucilage,"""   ""","""   """,water,wind,attachment,,water
Juncus edgariae,herb,seed,mucilage,"""   ""","""   """,water,wind,attachment,,water
Juncus holoschoenus,herb,seed,mucilage,"""   ""","""   """,water,wind,attachment,,water
Juncus kraussii,herb,seed,mucilage,"""   ""","""   """,water,wind,attachment,,water
Juncus novae-zelandiae,herb,seed,mucilage,"""   ""","""   """,water,wind,attachment,,water
Juncus pallidus,herb,seed,mucilage,"""   ""","""   """,water,wind,attachment,,water
Juncus pauciflorus,herb,seed,mucilage,"""   ""","""   """,water,wind,attachment,,water
Juncus planifolius,herb,seed,mucilage,"""   ""","""   """,water,wind,attachment,,water
Juncus prismatocarpus,herb,seed,mucilage,"""   ""","""   """,water,wind,attachment,,water
Juncus pusillus,herb,seed,mucilage,"""   ""","""   """,water,wind,attachment,,water
Juncus sarophorus,herb,seed,mucilage,"""   ""","""   """,water,wind,attachment,,water
Juncus scheuchzerioides,herb,seed,mucilage,"""   ""","""   """,water,wind,attachment,,water
Juncus usitatus,herb,seed,mucilage,"""   ""","""   """,water,wind,attachment,,water
Kelleria childii,herb,achene,,,,wind,,,,wind
Kelleria croizatii,herb,achene,,"""   """,,wind,,,,wind
Kelleria dieffenbachii,herb,achene,,"""   """,,wind,,,,wind
Kelleria laxa,herb,achene,,"""   """,,wind,,,,wind
Kelleria lyallii,herb,achene,,"""   """,,wind,,,,wind
Kelleria multiflora,herb,achene,,"""   """,,wind,,,,wind
Kelleria paludosa,herb,achene,,"""   """,,wind,,,,wind
Kelleria tessellata,herb,achene,,"""   """,,wind,,,,wind
Kelleria villosa,herb,achene,,"""   """,,wind,,,,wind
Kirkianella  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Kirkianella novae-zelandiae,herb,cypsela,pappate,"""   """,,wind,,,,wind
Knightia excelsa,tree,seed,winged,,,wind,,,,wind
Koeleria  ,herb,floret,,lemma short awned,"attachment, granivory",wind,attachment,,,wind
Koeleria cheesemanii,herb,floret,,"""   ""","""   """,wind,attachment,,,wind
Koeleria novozelandica,herb,floret,,"""   ""","""   """,wind,attachment,,,wind
Koeleria riguorum,herb,floret,,"""   ""","""   """,wind,attachment,,,wind
Korthalsella clavata,shrub,berry,fleshy,. Birds may also eat fruit .,"attachment, frugivory",ballistic,attachment,frugivory,,ballistic
Korthalsella lindsayi,shrub,berry,fleshy,"""   ""","""   """,ballistic,attachment,frugivory,,ballistic
Korthalsella salicornioides,shrub,berry,fleshy,"""   ""","""   """,ballistic,attachment,frugivory,,ballistic
Kunzea  ,tree,seed,,testa reticulate,"wind, water ",wind,water,,,wind
Kunzea  ,tree,seed,,"""   ""","""   """,wind,water,,,wind
Kunzea  ,tree,seed,,"""   ""","""   """,wind,water,,,wind
Kunzea  ,tree,seed,,"""   ""","""   """,wind,water,,,wind
Kunzea  ,tree,seed,,"""   ""","""   """,wind,water,,,wind
Kunzea  ,tree,seed,,"""   ""","""   """,wind,water,,,wind
Kunzea  ,tree,seed,,"""   ""","""   """,wind,water,,,wind
Kunzea  ,tree,seed,,"""   ""","""   """,wind,water,,,wind
Kunzea  ,tree,seed,,"""   ""","""   """,wind,water,,,wind
Kunzea ericoides,tree,seed,,"""   ""","""   """,wind,water,,,wind
Kunzea sinclairii,tree,seed,,"""   ""","""   """,wind,water,,,wind
Lachnagrostis ammobia,herb,inflorescence,"lemma awned and hairy, inflorescence disarticulating",,,mobile,attachment,,,unassisted
Lachnagrostis billardierei,herb,& floret,"""   ""","""   """,,mobile,attachment,,,unassisted
Lachnagrostis elata,herb,& floret,"""   ""","""   """,,mobile,attachment,,,unassisted
Lachnagrostis filiformis,herb,inflorescence,"""   ""","""   """,,mobile,attachment,,,unassisted
Lachnagrostis glabra,herb,inflorescence,"""   ""","""   """,,mobile,attachment,,,unassisted
Lachnagrostis leptostachys,herb,& floret,"""   ""","""   """,,mobile,attachment,,,unassisted
Lachnagrostis littoralis,herb,inflorescence,"""   ""","""   """,,mobile,attachment,,,unassisted
Lachnagrostis lyallii,herb,inflorescence,"""   ""","""   """,,mobile,attachment,,,unassisted
Lachnagrostis pilosa,herb,,,"""   ""","""   """,mobile,attachment,,,unassisted
Lachnagrostis striata,herb,inflorescence,,"""   ""","""   """,mobile,attachment,,,unassisted
Lachnagrostis tenuis,herb,inflorescence,,"""   ""","""   """,mobile,attachment,,,unassisted
Lachnagrostis uda,herb,& floret,,"""   ""","""   """,mobile,attachment,,,unassisted
Lagenifera barkeri,herb,cypsela,glandular,"body, variable between species ",1967,wind,attachment,,,wind
Lagenifera cuneata,herb,cypsela,glandular,"""   ""","""   """,wind,attachment,,,wind
Lagenifera lanata,herb,cypsela,glandular,"""   ""","""   """,wind,attachment,,,wind
Lagenifera montana,herb,cypsela,glandular,"""   ""","""   """,wind,attachment,,,wind
Lagenifera petiolata,herb,cypsela,glandular,"""   ""","""   """,wind,attachment,,,wind
Lagenifera pinnatifida,herb,cypsela,glandular,"""   ""","""   """,wind,attachment,,,wind
Lagenifera pumila,herb,cypsela,glandular,"""   ""","""   """,wind,attachment,,,wind
Lagenifera stipitata,herb,cypsela,glandular,"""   ""","""   """,wind,attachment,,,wind
Lagenifera strangulata,herb,cypsela,glandular,"""   ""","""   """,wind,attachment,,,wind
Lastreopsis glabella,fern,spore,minute,"""   """,,wind,,,,wind
Lastreopsis hispida,fern,spore,minute,"""   """,,wind,,,,wind
Lastreopsis microsora,fern,spore,minute,"""   """,,wind,,,,wind
Lastreopsis velutina,fern,spore,minute,"""   """,,wind,,,,wind
Laurelia novae-zelandiae,tree,achene,pappate,achene extending into long pappate awn. Unripe,wind ,wind,capsule,,,wind
Leionema nudum,shrub,drupe,,endocarp retained at hilum. Ant dispersed ,,ballistic,ant,,,ballistic
Lemna  ,herb,"plant, seed",,,water ,water,attachment,,,water
Leonohebe cheesemanii,shrub,seed,,,+/- flattened and winged. Wind dispersed ,wind,,,,wind
Leonohebe ciliolata,shrub,seed,,,"""   """,wind,,,,wind
Leonohebe cupressoides,shrub,seed,,,"""   """,wind,,,,wind
Leonohebe tetrasticha,shrub,seed,,,"""   """,wind,,,,wind
Leonohebe tumida,shrub,seed,,,"""   """,wind,,,,wind
Lepidium  ,herb,seed,Mucilage,"""   ""","""   """,attachment,wind,water,capsule,attach
Lepidium  ,herb,seed,Mucilage,"bodies, coastal species associated with seabird","Carlquist 1967, Harper et",attachment,wind,water,capsule,attach
Lepidium  ,herb,seed,Mucilage,"""   ""","""   """,attachment,wind,water,capsule,attach
Lepidium  ,herb,seed,Mucilage,"""   ""","""   """,attachment,wind,water,capsule,attach
Lepidium banksii,herb,seed,Mucilage,"""   ""","""   """,attachment,wind,water,capsule,attach
Lepidium desvauxii,herb,seed,Mucilage,"""   ""","""   """,attachment,wind,water,capsule,attach
Lepidium flexicaule,herb,seed,Mucilage,"""   ""","""   """,attachment,wind,water,capsule,attach
Lepidium kirkii,herb,seed,Mucilage,"""   ""","""   """,attachment,wind,water,capsule,attach
Lepidium naufragorum,herb,seed,Mucilage,"""   ""","""   """,attachment,wind,water,capsule,attach
Lepidium obtusatum,herb,seed,Mucilage,"""   ""","""   """,attachment,wind,water,capsule,attach
Lepidium oleraceum,herb,seed,Mucilage,"""   ""","""   """,attachment,wind,water,capsule,attach
Lepidium sisymbrioides,herb,seed,Mucilage,"""   ""","""   """,attachment,wind,water,capsule,attach
Lepidium solandri,herb,seed,Mucilage,"""   ""","""   """,attachment,wind,water,capsule,attach
Lepidium tenuicaule,herb,seed,Mucilage,"""   ""","""   """,attachment,wind,water,capsule,attach
Lepidosperma australe,herb,nut,scales,"hypogenous scales becoming spongy, some with","1975, Benson and",wind,water,ant,,wind
Lepidosperma filiforme,herb,nut,scales,"""   ""","""   """,wind,water,ant,,wind
Lepidosperma laterale,herb,nut,scales,"""   ""","""   """,wind,water,ant,,wind
Lepidothamnus intermedius,shrub,seed,arillate,cone scales swollen. See Quinn ,,frugivory,,,,endo
Lepidothamnus laxifolius,tree,seed,arillate,"""   """,,frugivory,,,,endo
Lepilaena bilocularis,herb,achene,,flowering underwater,,water,,,,water
Leptecophylla  ,shrub,drupe,fleshy,frugivory ,,frugivory,,,,endo
Leptecophylla  ,shrub,drupe,fleshy,"""   """,,frugivory,,,,endo
Leptecophylla robusta,shrub,drupe,fleshy,"""   """,,frugivory,,,,endo
Leptinella ,herb,cypsela,papery,papery. Capitulum of dioecious species in Sect.,attachment ,wind,attachment,,,wind
Leptinella  ,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella  ,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella  ,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella  ,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella albida,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella atrata,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella calcarea,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella dendyi,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella dioica,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella dispersa,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella featherstonii,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella filiformis,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella goyenii,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella intermedia,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella lanata,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella maniototo,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella minor,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella nana,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella pectinata,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella plumosa,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella potentillina,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella pusilla,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella pyrethrifolia agg.,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella rotundata,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella serrulata,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella squalida,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella tenella,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptinella traillii,herb,cypsela,papery,"""   ""","""   """,wind,attachment,,,wind
Leptolepia novae-zelandiae,fern,spore,minute,"""   "",",,wind,,,,wind
Leptopteris hymenophylloides,fern,spore,minute,"""   "", spores with chlorophyll",spores chlorophyllous,wind,,,,wind
Leptopteris superba,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Leptospermum scoparium agg.,tree,seed,,testa reticulate or striate. Wind ,,wind,,,,wind
Leptostigma setulosum,herb,calyx,hairy,-1996,,wind,,,,wind
Lepturus repens,herb,floret,spines,,,water,wind,,,water
Leucogenes grandiceps,herb,cypsela,pappate,,,wind,,,,wind
Leucogenes leontopodium,herb,cypsela,pappate,"""   """,,wind,,,,wind
Leucogenes neglecta,herb,cypsela,pappate,"""   """,,wind,,,,wind
Leucogenes tarahaoa,herb,cypsela,pappate,"""   """,,wind,,,,wind
Leucopogon fasciculatus,shrub,drupe,fleshy,fleshy,,frugivory,,,,endo
Leucopogon fraseri,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Leucopogon nanum,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Leucopogon parviflorus,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Leucopogon xerampelinus,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Libertia  ,herb,seed,,indehiscent . Seed foveolate often,,wind,capsule,,,wind
Libertia cranwelliae,herb,seed,,"""   """,,wind,capsule,,,wind
Libertia edgariae,herb,seed,,"""   """,,wind,capsule,,,wind
Libertia grandiflora,herb,seed,,"""   """,,wind,capsule,,,wind
Libertia ixioides,herb,seed,,"""   """,,wind,capsule,,,wind
Libertia micrantha,herb,seed,,"""   """,,wind,capsule,,,wind
Libertia mooreae,herb,seed,,"""   """,,wind,capsule,,,wind
Libertia peregrinans,herb,seed,,"""   """,,wind,capsule,,,wind
Libocedrus bidwillii,tree,seed,winged,,wind ,wind,,,,wind
Libocedrus plumosa,tree,seed,winged,,"""   """,wind,,,,wind
Lignocarpa carnosula,herb,mericarp,not-winged,laterally compressed  with papery,,wind,,,,wind
Lignocarpa diversifolia,herb,mericarp,not-winged,"""   """,,wind,,,,wind
Lilaeopsis novae-zelandiae,herb,mericarp,corky,ribs spongy,water ,water,,,,water
Lilaeopsis ruthiana,herb,mericarp,corky,"""   ""","""   """,water,,,,water
Limosella curdieana,herb,seed,,,"""   """,water,attachment,,,water
Limosella lineata agg.,herb,seed,,,"""   """,water,attachment,,,water
Lindsaea linearis,fern,spore,minute,"""   "", wind ",,wind,,,,wind
Lindsaea trichomanoides,fern,spore,minute,"""   """,,wind,,,,wind
Lindsaea viridis,fern,spore,minute,"""   """,,wind,,,,wind
Linguella puberula,herb,seed,minute,,,wind,,,,wind
Linum monogynum,herb,seed,,"testa layered, one layer alveolate",1930,wind,attachment,,,wind
Liparophyllum gunnii,herb,berry,fleshy,with a slightly thickened rim. Maybe attractive to,,water,capsule,,,water
Litsea calicaris,tree,drupe,fleshy,fleshy,Benson and McDougall,frugivory,,,,endo
Lobelia  ,herb,berry,fleshy,"""   ""","""   """,frugivory,invertebrate,,,endo
Lobelia anceps,herb,seed,minute,"fleshy, seed small, testa reticulate ",. Seed,water,wind,,,water
Lobelia angulata,herb,berry,fleshy,"""   ""","""   """,frugivory,invertebrate,,,endo
Lobelia arenaria,herb,berry,fleshy,"""   ""","""   """,frugivory,invertebrate,,,endo
Lobelia carens,herb,berry,fleshy,"""   ""","""   """,frugivory,invertebrate,,,endo
Lobelia fatiscens,herb,seed,fleshy,"""   ""","""   """,water,invertebrate,,,water
Lobelia fugax,herb,berry,fleshy,"""   ""","""   """,frugivory,invertebrate,,,endo
Lobelia glaberrima,herb,berry,fleshy,"""   ""","""   """,frugivory,invertebrate,,,endo
Lobelia ionantha,herb,berry,fleshy,"""   ""","""   """,frugivory,invertebrate,,,endo
Lobelia linnaeoides,herb,berry,fleshy,"""   ""","""   "",",frugivory,invertebrate,,,endo
Lobelia macrodon,herb,berry,fleshy,"""   ""","""   """,frugivory,invertebrate,,,endo
Lobelia perpusilla,herb,berry,fleshy,"""   ""","""   """,frugivory,invertebrate,,,endo
Lobelia roughii,herb,seed,,"""   ""","""   """,wind,,,,wind
Logania depressa,shrub,seed,,no details on fruit available,", seed c.",unknown,,,,NA
Lophomyrtus bullata,shrub,berry,fleshy,,frugivory ,frugivory,,,,endo
Lophomyrtus obcordata,shrub,berry,fleshy,,"""   """,frugivory,,,,endo
Loxsoma cunninghamii,fern,spore,minute,"""   """,,wind,,,,wind
Luzula  ,herb,seed,fleshy,minute c.f. overseas spp. . See,"al. 2000, Melcher et al.",attachment,wind,ant,,attach
Luzula  ,herb,seed,fleshy,"""   ""","""   """,attachment,wind,ant,,attach
Luzula  ,herb,seed,,"""   ""","""   """,attachment,wind,ant,,attach
Luzula  ,herb,seed,fleshy,"""   ""","""   """,attachment,wind,ant,,attach
Luzula  ,herb,seed,fleshy,"""   ""","""   """,attachment,wind,ant,,attach
Luzula  ,herb,seed,caruncle,"""   ""","""   """,attachment,wind,ant,,attach
Luzula  ,herb,seed,,"""   ""","""   """,attachment,wind,ant,,attach
Luzula  ,herb,seed,fleshy,"""   ""","""   """,attachment,wind,ant,,attach
Luzula  ,herb,seed,fleshy,"""   ""","""   """,attachment,wind,ant,,attach
Luzula  ,herb,seed,caruncle,"""   ""","""   """,attachment,wind,ant,,attach
Luzula banksiana,herb,seed,fleshy,"""   ""","""   """,attachment,wind,ant,,attach
Luzula celata,herb,seed,fleshy,"""   ""","""   """,attachment,wind,ant,,attach
Luzula colensoi,herb,seed,caruncle,"""   ""","""   """,attachment,wind,ant,,attach
Luzula crenulata,herb,seed,fleshy,"""   ""","""   """,attachment,wind,ant,,attach
Luzula crinita,herb,seed,fleshy,"""   ""","""   """,attachment,wind,ant,,attach
Luzula decipiens,herb,seed,fleshy,"""   ""","""   """,attachment,wind,ant,,attach
Luzula leptophylla,herb,seed,caruncle,"""   ""","""   """,attachment,wind,ant,,attach
Luzula migrata,herb,seed,fleshy,"""   ""","""   """,attachment,wind,ant,,attach
Luzula picta,herb,seed,fleshy,"""   ""","""   """,attachment,wind,ant,,attach
Luzula pumila,herb,seed,caruncle,"""   ""","""   """,attachment,wind,ant,,attach
Luzula rhadina,herb,seed,caruncle,"""   ""","""   """,attachment,wind,ant,,attach
Luzula rufa,herb,seed,caruncle,"""   ""","""   """,attachment,wind,ant,,attach
Luzula subclavata,herb,seed,fleshy,"""   ""","""   """,attachment,wind,ant,,attach
Luzula traversii,herb,seed,caruncle,"""   ""","""   """,attachment,wind,ant,,attach
Luzula ulophylla,herb,seed,caruncle,"""   ""","""   """,attachment,wind,ant,,attach
Luzuriaga parviflora,herb,berry,fleshy,,"Rozzi 1989, Smith-Ramírez",frugivory,,,,endo
Lycopodiella cernua,fern ally,spore,minute,"""   ""","wind, water ",wind,water,,,wind
Lycopodiella lateralis,fern ally,spore,minute,"""   ""","""   """,wind,water,,,wind
Lycopodiella serpentina,fern ally,spore,minute,"""   ""","""   """,wind,water,,,wind
Lycopodium deuterodensum,fern ally,spore,minute,"""   "", wind ",wind ,wind,,,,wind
Lycopodium fastigiatum,fern ally,spore,minute,"""   ""","""   """,wind,,,,wind
Lycopodium scariosum,fern ally,spore,minute,"""   ""","""   """,wind,,,,wind
Lycopodium volubile,fern ally,spore,minute,"""   ""","""   """,wind,,,,wind
Lygodium articulatum,fern,spore,minute,"""   ""","droplets, walls resistant",wind,,,,wind
Machaerina sinclairii,herb,nut,winged,nut alate and narrow,,wind,,,,wind
macrocarpa var. latisepala; Great,shrub,seed,"""   """,,,wind,,,,wind
Macropiper excelsum,shrub,seed,fleshy,"M. excelusm berry, M. melchior drupe. Bats poss.",,frugivory,,,,endo
Macropiper melchior,shrub,seed,fleshy,"""   """,,frugivory,,,,endo
Macrothelypteris torresiana,fern,spore,minute,"""   """,,wind,,,,wind
Manoao colensoi,tree,seed,arillate,epimatium swollen. See Quinn ,,frugivory,,,,endo
Marattia salicina,fern,spore,minute,"""   """,,wind,,,,wind
Marsippospermum gracile,herb,seed,,seed tailed,,wind,,,,wind
Mazus arenarius,herb,calyx,fleshy,fruit and large calyx fleshy ,wind ,frugivory,,,,endo
Mazus novaezeelandiae,herb,seed,,testa thin reticulate .,"""   """,attachment,wind,water,capsule,attach
Mazus pumilio,herb,seed,,Seed mucilaginous . See,"""   """,attachment,wind,water,,attach
Mazus radicans,herb,calyx,fleshy,fruit and large calyx fleshy ,"""   """,frugivory,,,,endo
Melicope simplex,tree,seed,viscid,seed ejected on funicle. Often left dangling , ,ballistic,,,,ballistic
Melicope ternata,tree,seed,viscid,"""   ""","""   """,ballistic,,,,ballistic
Melicytus  ,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus  ,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus  ,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus  ,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus  ,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus  ,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus  ,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus  ,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus  ,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus alpinus,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus chathamicus,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus crassifolius,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus drucei,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus flexuosus,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus lanceolatus,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus macrophyllus,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus micranthus,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus novae-zelandiae,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus obovatus,shrub,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Melicytus ramiflorus,tree,berry,fleshy,"""   ""","""   """,frugivory,,,,endo
Mentha cunninghamii,herb,nutlet,,,,wind,,,,wind
Meryta sinclairii,tree,baccate,fleshy,exocarp fleshy,,frugivory,,,,endo
Metrosideros albiflora,vine,seed,,testa reticulate. See Schmidt-Adams et al. ,,wind,,,,wind
Metrosideros bartlettii,tree,seed,,"""   ""","""   """,wind,,,,wind
Metrosideros carminea,vine,seed,,"""   ""","""   """,wind,,,,wind
Metrosideros colensoi,vine,seed,,"""   ""","""   """,wind,,,,wind
Metrosideros diffusa,vine,seed,,"""   ""","""   """,wind,,,,wind
Metrosideros excelsa,tree,seed,,"""   ""","""   """,wind,,,,wind
Metrosideros fulgens,vine,seed,,"""   ""","""   """,wind,,,,wind
Metrosideros kermadecensis,tree,seed,,"""   ""","""   """,wind,,,,wind
Metrosideros parkinsonii,shrub,seed,,"""   ""","""   """,wind,,,,wind
Metrosideros perforata,vine,seed,,"""   ""","""   """,wind,,,,wind
Metrosideros robusta,tree,seed,,"""   ""","""   """,wind,,,,wind
Metrosideros umbellata,tree,seed,,"""   ""","""   """,wind,,,,wind
Microlaena avenacea,herb,floret,lemma long awned,1967,,wind,,,,wind
Microlaena carsei,herb,floret,"""   ""","""   """,,wind,,,,wind
Microlaena polynoda,herb,floret,"""   ""","""   """,,wind,,,,wind
Microlaena stipoides,herb,floret,"""   ""","""   """,,wind,,,,wind
Microseris  ,herb,cypsela,pappate,"""   """,,wind,,,,wind
Microseris scapigera,herb,cypsela,pappate,"pappate, cypsela ribbed",,wind,,,,wind
Microsorum novae-zelandiae,fern,spore,minute,"""   """,,wind,,,,wind
Microsorum pustulatum,fern,spore,minute,"""   """,,wind,,,,wind
Microsorum scandens,fern,spore,minute,"""   """,,wind,,,,wind
Microtis arenaria,herb,seed,minute,,,wind,,,,wind
Microtis oblonga,herb,seed,minute,"""   """,,wind,,,,wind
Microtis oligantha,herb,seed,minute,"""   """,,wind,,,,wind
Microtis parviflora agg.,herb,seed,minute,"""   """,,wind,,,,wind
