sp,mode,distance,remark,citation
Selinum carvifolia,wind,0.79,Median with a wind of 2.6 m/s,Jongejans & Telenius 2001
Trifolium badium,wind,10,Maximum,Stöcklin & Bäumler 1996
Trifolium pallescens,wind,6,Maximum,Stöcklin & Bäumler 1996
Abies alba,wind,7000*,Maximum,Bouget & Davy de Virville 1926 in Müller-Schneider 1983
Acer pseudoplatanus,wind,5000*,Maximum,Braun-Blanquet 1913 in Müller-Schneider 1986
Acer pseudoplatanus,wind,400-500*,Maximum,Firbas 1935 in Müller-Schneider 1986
Acer rubrum,wind,83 / 314 / 11'371*,"Calculated median, 99-percentile et maximum",Higgins et al. 2003
Alnus viridis,wind,70,Maximum,Stöcklin & Bäumler 1996
Betula sp.,wind,40 / 100,Limit for the majority and maximum,Greene & Calogeropoulos 2002
Carpinus betulus,wind,130,Maximum,Müller-Schneider 1986
Fraxinus excelsior,wind,725*,Maximum,Geiger 1960 in Müller-Schneider 1986
Fraxinus sp.,wind,40 / 100,Limit for the majority and maximum,Greene & Calogeropoulos 2002
Larix decidua,wind,15,Maximum,Stöcklin & Bäumler 1996
Picea abies,wind,1500* / 800*,Maximum horizontal and vertical dispersion,Braun-Blanquet 1913 in Müller-Schneider 1986
Picea glauca,wind,475*,Maximum,Greene & Johnson 1995 in Cain et al. 1998
Pinus sp.,wind,40 / 100,Limit for the majority and maximum,Greene & Calogeropoulos 2002
Pinus sylvestris,wind,2000*,Maximum,Firbas 1935 in Müller-Schneider 1983
Tilia platyphyllos,wind,80,Maximum observed,Müller-Schneider 1986
Achillea erba-rotta subsp. moschata,wind,< 1,Maximum,Stöcklin & Bäumler 1996
Achillea millefolium,wind,0.07 / 0.39,Calculated median and 99-percentile,Soons & Ozinga 2005
Achillea nana,wind,4*,Maximum,Stöcklin & Bäumler 1996
Arabis alpina,wind,< 1,Maximum,Stöcklin & Bäumler 1996
Arabis hirsuta,wind,0.09 / 0.47,Calculated median and 99-percentile,Soons & Ozinga 2005
